# t  x1  y1  x2  y2  x3  y3  x4  y4  x5  y5  x6  y6  x7  y7  x8  y8  x9  y9  x10  y10  x11  y11  x12  y12  x13  y13  x14  y14  x15  y15  x16  y16  x17  y17  x18  y18  x19  y19  x20  y20  x21  y21  x22  y22  x23  y23  x24  y24  x25  y25  x26  y26  x27  y27  x28  y28  x29  y29  x30  y30  x31  y31  x32  y32  x33  y33  x34  y34  x35  y35  x36  y36  x37  y37  x38  y38  x39  y39  x40  y40
0.000000 0.500000 0.000000 0.353553 0.353553 0.000000 0.500000 -0.353553 0.353553 -0.500000 0.000000 -0.353553 -0.353553 -0.000000 -0.500000 0.353553 -0.353553 0.900000 0.000000 0.636396 0.636396 0.000000 0.900000 -0.636396 0.636396 -0.900000 0.000000 -0.636396 -0.636396 -0.000000 -0.900000 0.636396 -0.636396 1.000000 0.000000 0.707107 0.707107 0.000000 1.000000 -0.707107 0.707107 -1.000000 0.000000 -0.707107 -0.707107 -0.000000 -1.000000 0.707107 -0.707107 1.100000 0.000000 0.777817 0.777817 0.000000 1.100000 -0.777817 0.777817 -1.100000 0.000000 -0.777817 -0.777817 -0.000000 -1.100000 0.777817 -0.777817 1.500000 0.000000 1.060660 1.060660 0.000000 1.500000 -1.060660 1.060660 -1.500000 0.000000 -1.060660 -1.060660 -0.000000 -1.500000 1.060660 -1.060660
0.010000 0.496230 0.004962 0.347379 0.354397 -0.004962 0.496230 -0.354397 0.347379 -0.496230 -0.004962 -0.347379 -0.354397 0.004962 -0.496230 0.354397 -0.347379 0.898233 0.008983 0.628795 0.641498 -0.008983 0.898233 -0.641498 0.628795 -0.898233 -0.008983 -0.628795 -0.641498 0.008983 -0.898233 0.641498 -0.628795 0.999950 0.010000 0.700000 0.714142 -0.010000 0.999950 -0.714142 0.700000 -0.999950 -0.010000 -0.700000 -0.714142 0.010000 -0.999950 0.714142 -0.700000 1.102286 0.011023 0.771639 0.787228 -0.011023 1.102286 -0.787228 0.771639 -1.102286 -0.011023 -0.771639 -0.787228 0.011023 -1.102286 0.787228 -0.771639 1.519229 0.015193 1.063514 1.085000 -0.015193 1.519229 -1.085000 1.063514 -1.519229 -0.015193 -1.063514 -1.085000 0.015193 -1.519229 1.085000 -1.063514
0.020000 0.492421 0.009850 0.341229 0.355159 -0.009850 0.492421 -0.355159 0.341229 -0.492421 -0.009850 -0.341229 -0.355159 0.009850 -0.492421 0.355159 -0.341229 0.896352 0.017929 0.621138 0.646494 -0.017929 0.896352 -0.646494 0.621138 -0.896352 -0.017929 -0.621138 -0.646494 0.017929 -0.896352 0.646494 -0.621138 0.999800 0.019999 0.692824 0.721107 -0.019999 0.999800 -0.721107 0.692824 -0.999800 -0.019999 -0.692824 -0.721107 0.019999 -0.999800 0.721107 -0.692824 1.104523 0.022093 0.765393 0.796638 -0.022093 1.104523 -0.796638 0.765393 -1.104523 -0.022093 -0.765393 -0.796638 0.022093 -1.104523 0.796638 -0.765393 1.539481 0.030794 1.066803 1.110352 -0.030794 1.539481 -1.110352 1.066803 -1.539481 -0.030794 -1.066803 -1.110352 0.030794 -1.539481 1.110352 -1.066803
0.030000 0.488574 0.014662 0.335107 0.355841 -0.014662 0.488574 -0.355841 0.335107 -0.488574 -0.014662 -0.335107 -0.355841 0.014662 -0.488574 0.355841 -0.335107 0.894357 0.026839 0.613428 0.651383 -0.026839 0.894357 -0.651383 0.613428 -0.894357 -0.026839 -0.613428 -0.651383 0.026839 -0.894357 0.651383 -0.613428 0.999550 0.029996 0.685579 0.727999 -0.029996 0.999550 -0.727999 0.685579 -0.999550 -0.029996 -0.685579 -0.727999 0.029996 -0.999550 0.727999 -0.685579 1.106714 0.033211 0.759081 0.806049 -0.033211 1.106714 -0.806049 0.759081 -1.106714 -0.033211 -0.759081 -0.806049 0.033211 -1.106714 0.806049 -0.759081 1.560862 0.046840 1.070575 1.136817 -0.046840 1.560862 -1.136817 1.070575 -1.560862 -0.046840 -1.070575 -1.136817 0.046840 -1.560862 1.136817 -1.070575
0.040000 0.484691 0.019398 0.329012 0.356445 -0.019398 0.484691 -0.356445 0.329012 -0.484691 -0.019398 -0.329012 -0.356445 0.019398 -0.484691 0.356445 -0.329012 0.892248 0.035709 0.605665 0.656165 -0.035709 0.892248 -0.656165 0.605665 -0.892248 -0.035709 -0.605665 -0.656165 0.035709 -0.892248 0.656165 -0.605665 0.999200 0.039989 0.678264 0.734818 -0.039989 0.999200 -0.734818 0.678264 -0.999200 -0.039989 -0.678264 -0.734818 0.039989 -0.999200 0.734818 -0.678264 1.108860 0.044378 0.752702 0.815462 -0.044378 1.108860 -0.815462 0.752702 -1.108860 -0.044378 -0.752702 -0.815462 0.044378 -1.108860 0.815462 -0.752702 1.583493 0.063374 1.074887 1.164510 -0.063374 1.583493 -1.164510 1.074887 -1.583493 -0.063374 -1.074887 -1.164510 0.063374 -1.583493 1.164510 -1.074887
0.050000 0.480774 0.024059 0.322946 0.356970 -0.024059 0.480774 -0.356970 0.322946 -0.480774 -0.024059 -0.322946 -0.356970 0.024059 -0.480774 0.356970 -0.322946 0.890027 0.044538 0.597851 0.660837 -0.044538 0.890027 -0.660837 0.597851 -0.890027 -0.044538 -0.597851 -0.660837 0.044538 -0.890027 0.660837 -0.597851 0.998750 0.049979 0.670882 0.741564 -0.049979 0.998750 -0.741564 0.670882 -0.998750 -0.049979 -0.670882 -0.741564 0.049979 -0.998750 0.741564 -0.670882 1.110962 0.055594 0.746258 0.824880 -0.055594 1.110962 -0.824880 0.746258 -1.110962 -0.055594 -0.746258 -0.824880 0.055594 -1.110962 0.824880 -0.746258 1.607512 0.080443 1.079801 1.193564 -0.080443 1.607512 -1.193564 1.079801 -1.607512 -0.080443 -1.079801 -1.193564 0.080443 -1.607512 1.193564 -1.079801
0.060000 0.476823 0.028644 0.316911 0.357419 -0.028644 0.476823 -0.357419 0.316911 -0.476823 -0.028644 -0.316911 -0.357419 0.028644 -0.476823 0.357419 -0.316911 0.887693 0.053326 0.589987 0.665401 -0.053326 0.887693 -0.665401 0.589987 -0.887693 -0.053326 -0.589987 -0.665401 0.053326 -0.887693 0.665401 -0.589987 0.998201 0.059964 0.663433 0.748235 -0.059964 0.998201 -0.748235 0.663433 -0.998201 -0.059964 -0.663433 -0.748235 0.059964 -0.998201 0.748235 -0.663433 1.113022 0.066862 0.739747 0.834304 -0.066862 1.113022 -0.834304 0.739747 -1.113022 -0.066862 -0.739747 -0.834304 0.066862 -1.113022 0.834304 -0.739747 1.633078 0.098102 1.085392 1.224129 -0.098102 1.633078 -1.224129 1.085392 -1.633078 -0.098102 -1.085392 -1.224129 0.098102 -1.633078 1.224129 -1.085392
0.070000 0.472841 0.033153 0.310906 0.357792 -0.033153 0.472841 -0.357792 0.310906 -0.472841 -0.033153 -0.310906 -0.357792 0.033153 -0.472841 0.357792 -0.310906 0.885247 0.062069 0.582075 0.669853 -0.062069 0.885247 -0.669853 0.582075 -0.885247 -0.062069 -0.582075 -0.669853 0.062069 -0.885247 0.669853 -0.582075 0.997551 0.069943 0.655918 0.754832 -0.069943 0.997551 -0.754832 0.655918 -0.997551 -0.069943 -0.655918 -0.754832 0.069943 -0.997551 0.754832 -0.655918 1.115041 0.078181 0.733171 0.843735 -0.078181 1.115041 -0.843735 0.733171 -1.115041 -0.078181 -0.733171 -0.843735 0.078181 -1.115041 0.843735 -0.733171 1.660375 0.116416 1.091744 1.256381 -0.116416 1.660375 -1.256381 1.091744 -1.660375 -0.116416 -1.091744 -1.256381 0.116416 -1.660375 1.256381 -1.091744
0.080000 0.468828 0.037586 0.304934 0.358089 -0.037586 0.468828 -0.358089 0.304934 -0.468828 -0.037586 -0.304934 -0.358089 0.037586 -0.468828 0.358089 -0.304934 0.882690 0.070766 0.574117 0.674195 -0.070766 0.882690 -0.674195 0.574117 -0.882690 -0.070766 -0.574117 -0.674195 0.070766 -0.882690 0.674195 -0.574117 0.996802 0.079915 0.648337 0.761353 -0.079915 0.996802 -0.761353 0.648337 -0.996802 -0.079915 -0.648337 -0.761353 0.079915 -0.996802 0.761353 -0.648337 1.117021 0.089553 0.726530 0.853177 -0.089553 1.117021 -0.853177 0.726530 -1.117021 -0.089553 -0.726530 -0.853177 0.089553 -1.117021 0.853177 -0.726530 1.689617 0.135458 1.098956 1.290523 -0.135458 1.689617 -1.290523 1.098956 -1.689617 -0.135458 -1.098956 -1.290523 0.135458 -1.689617 1.290523 -1.098956
0.090000 0.464787 0.041944 0.298995 0.358313 -0.041944 0.464787 -0.358313 0.298995 -0.464787 -0.041944 -0.298995 -0.358313 0.041944 -0.464787 0.358313 -0.298995 0.880021 0.079416 0.566113 0.678425 -0.079416 0.880021 -0.678425 0.566113 -0.880021 -0.079416 -0.566113 -0.678425 0.079416 -0.880021 0.678425 -0.566113 0.995953 0.089879 0.640691 0.767799 -0.089879 0.995953 -0.767799 0.640691 -0.995953 -0.089879 -0.640691 -0.767799 0.089879 -0.995953 0.767799 -0.640691 1.118964 0.100980 0.719824 0.862631 -0.100980 1.118964 -0.862631 0.719824 -1.118964 -0.100980 -0.719824 -0.862631 0.100980 -1.118964 0.862631 -0.719824 1.721054 0.155314 1.107145 1.326793 -0.155314 1.721054 -1.326793 1.107145 -1.721054 -0.155314 -1.107145 -1.326793 0.155314 -1.721054 1.326793 -1.107145
