# t  x1  y1  x2  y2  x3  y3  x4  y4  x5  y5  x6  y6  x7  y7  x8  y8  x9  y9  x10  y10  x11  y11  x12  y12  x13  y13  x14  y14  x15  y15  x16  y16  x17  y17  x18  y18  x19  y19  x20  y20  x21  y21  x22  y22  x23  y23  x24  y24  x25  y25  x26  y26  x27  y27  x28  y28  x29  y29  x30  y30  x31  y31  x32  y32  x33  y33  x34  y34  x35  y35  x36  y36  x37  y37  x38  y38  x39  y39  x40  y40
0.100000 0.568349 -0.057025 0.442206 0.361561 0.057025 0.568349 -0.361561 0.442206 -0.568349 0.057025 -0.442206 -0.361561 -0.057025 -0.568349 0.361561 -0.442206 0.912795 -0.091585 0.710204 0.580683 0.091585 0.912795 -0.580683 0.710204 -0.912795 0.091585 -0.710204 -0.580683 -0.091585 -0.912795 0.580683 -0.710204 0.995004 -0.099833 0.774167 0.632981 0.099833 0.995004 -0.632981 0.774167 -0.995004 0.099833 -0.774167 -0.632981 -0.099833 -0.995004 0.632981 -0.774167 1.075737 -0.107934 0.836981 0.684340 0.107934 1.075737 -0.684340 0.836981 -1.075737 0.107934 -0.836981 -0.684340 -0.107934 -1.075737 0.684340 -0.836981 1.384666 -0.138930 1.077345 0.880868 0.138930 1.384666 -0.880868 1.077345 -1.384666 0.138930 -1.077345 -0.880868 -0.138930 -1.384666 0.880868 -1.077345
0.110000 0.574409 -0.063441 0.451028 0.361309 0.063441 0.574409 -0.361309 0.451028 -0.574409 0.063441 -0.451028 -0.361309 -0.063441 -0.574409 0.361309 -0.451028 0.913394 -0.100881 0.717200 0.574534 0.100881 0.913394 -0.574534 0.717200 -0.913394 0.100881 -0.717200 -0.574534 -0.100881 -0.913394 0.574534 -0.717200 0.993956 -0.109778 0.780458 0.625208 0.109778 0.993956 -0.625208 0.780458 -0.993956 0.109778 -0.780458 -0.625208 -0.109778 -0.993956 0.625208 -0.780458 1.072943 -0.118502 0.842479 0.674892 0.118502 1.072943 -0.674892 0.842479 -1.072943 0.118502 -0.842479 -0.674892 -0.118502 -1.072943 0.674892 -0.842479 1.374026 -0.151755 1.078891 0.864276 0.151755 1.374026 -0.864276 1.078891 -1.374026 0.151755 -1.078891 -0.864276 -0.151755 -1.374026 0.864276 -1.078891
0.120000 0.580320 -0.069975 0.459828 0.360869 0.069975 0.580320 -0.360869 0.459828 -0.580320 0.069975 -0.459828 -0.360869 -0.069975 -0.580320 0.360869 -0.459828 0.913869 -0.110194 0.724122 0.568284 0.110194 0.913869 -0.568284 0.724122 -0.913869 0.110194 -0.724122 -0.568284 -0.110194 -0.913869 0.568284 -0.724122 0.992809 -0.119712 0.786671 0.617372 0.119712 0.992809 -0.617372 0.786671 -0.992809 0.119712 -0.786671 -0.617372 -0.119712 -0.992809 0.617372 -0.786671 1.070081 -0.129030 0.847900 0.665424 0.129030 1.070081 -0.665424 0.847900 -1.070081 0.129030 -0.847900 -0.665424 -0.129030 -1.070081 0.665424 -0.847900 1.363519 -0.164412 1.080411 0.847897 0.164412 1.363519 -0.847897 1.080411 -1.363519 0.164412 -1.080411 -0.847897 -0.164412 -1.363519 0.847897 -1.080411
0.130000 0.586081 -0.076623 0.468602 0.360241 0.076623 0.586081 -0.360241 0.468602 -0.586081 0.076623 -0.468602 -0.360241 -0.076623 -0.586081 0.360241 -0.468602 0.914222 -0.119523 0.730968 0.561937 0.119523 0.914222 -0.561937 0.730968 -0.914222 0.119523 -0.730968 -0.561937 -0.119523 -0.914222 0.561937 -0.730968 0.991562 -0.129634 0.792805 0.609475 0.129634 0.991562 -0.609475 0.792805 -0.991562 0.129634 -0.792805 -0.609475 -0.129634 -0.991562 0.609475 -0.792805 1.067151 -0.139516 0.853243 0.655937 0.139516 1.067151 -0.655937 0.853243 -1.067151 0.139516 -0.853243 -0.655937 -0.139516 -1.067151 0.655937 -0.853243 1.353139 -0.176906 1.081905 0.831722 0.176906 1.353139 -0.831722 1.081905 -1.353139 0.176906 -1.081905 -0.831722 -0.176906 -1.353139 0.831722 -1.081905
0.140000 0.591690 -0.083382 0.477348 0.359428 0.083382 0.591690 -0.359428 0.477348 -0.591690 0.083382 -0.477348 -0.359428 -0.083382 -0.591690 0.359428 -0.477348 0.914452 -0.128866 0.737737 0.555493 0.128866 0.914452 -0.555493 0.737737 -0.914452 0.128866 -0.737737 -0.555493 -0.128866 -0.914452 0.555493 -0.737737 0.990216 -0.139543 0.798860 0.601517 0.139543 0.990216 -0.601517 0.798860 -0.990216 0.139543 -0.798860 -0.601517 -0.139543 -0.990216 0.601517 -0.798860 1.064152 -0.149962 0.858509 0.646430 0.149962 1.064152 -0.646430 0.858509 -1.064152 0.149962 -0.858509 -0.646430 -0.149962 -1.064152 0.646430 -0.858509 1.342879 -0.189241 1.083373 0.815745 0.189241 1.342879 -0.815745 1.083373 -1.342879 0.189241 -1.083373 -0.815745 -0.189241 -1.342879 0.815745 -1.083373
0.150000 0.597146 -0.090250 0.486062 0.358430 0.090250 0.597146 -0.358430 0.486062 -0.597146 0.090250 -0.486062 -0.358430 -0.090250 -0.597146 0.358430 -0.486062 0.914559 -0.138222 0.744429 0.548953 0.138222 0.914559 -0.548953 0.744429 -0.914559 0.138222 -0.744429 -0.548953 -0.138222 -0.914559 0.548953 -0.744429 0.988771 -0.149438 0.804835 0.593498 0.149438 0.988771 -0.593498 0.804835 -0.988771 0.149438 -0.804835 -0.593498 -0.149438 -0.988771 0.593498 -0.804835 1.061084 -0.160367 0.863696 0.636903 0.160367 1.061084 -0.636903 0.863696 -1.061084 0.160367 -0.863696 -0.636903 -0.160367 -1.061084 0.636903 -0.863696 1.332734 -0.201423 1.084813 0.799957 0.201423 1.332734 -0.799957 1.084813 -1.332734 0.201423 -1.084813 -0.799957 -0.201423 -1.332734 0.799957 -1.084813
0.160000 0.602447 -0.097223 0.494741 0.357248 0.097223 0.602447 -0.357248 0.494741 -0.602447 0.097223 -0.494741 -0.357248 -0.097223 -0.602447 0.357248 -0.494741 0.914545 -0.147589 0.751042 0.542320 0.147589 0.914545 -0.542320 0.751042 -0.914545 0.147589 -0.751042 -0.542320 -0.147589 -0.914545 0.542320 -0.751042 0.987227 -0.159318 0.810730 0.585420 0.159318 0.987227 -0.585420 0.810730 -0.987227 0.159318 -0.810730 -0.585420 -0.159318 -0.987227 0.585420 -0.810730 1.057946 -0.170731 0.868806 0.627356 0.170731 1.057946 -0.627356 0.868806 -1.057946 0.170731 -0.868806 -0.627356 -0.170731 -1.057946 0.627356 -0.868806 1.322697 -0.213456 1.086224 0.784352 0.213456 1.322697 -0.784352 1.086224 -1.322697 0.213456 -1.086224 -0.784352 -0.213456 -1.322697 0.784352 -1.086224
0.170000 0.607593 -0.104297 0.503382 0.355883 0.104297 0.607593 -0.355883 0.503382 -0.607593 0.104297 -0.503382 -0.355883 -0.104297 -0.607593 0.355883 -0.503382 0.914408 -0.156964 0.757575 0.535594 0.156964 0.914408 -0.535594 0.757575 -0.914408 0.156964 -0.757575 -0.535594 -0.156964 -0.914408 0.535594 -0.757575 0.985585 -0.169182 0.816544 0.577284 0.169182 0.985585 -0.577284 0.816544 -0.985585 0.169182 -0.816544 -0.577284 -0.169182 -0.985585 0.577284 -0.816544 1.054739 -0.181053 0.873837 0.617789 0.181053 1.054739 -0.617789 0.873837 -1.054739 0.181053 -0.873837 -0.617789 -0.181053 -1.054739 0.617789 -0.873837 1.312764 -0.225345 1.087607 0.768921 0.225345 1.312764 -0.768921 1.087607 -1.312764 0.225345 -1.087607 -0.768921 -0.225345 -1.312764 0.768921 -1.087607
0.180000 0.612581 -0.111471 0.511982 0.354338 0.111471 0.612581 -0.354338 0.511982 -0.612581 0.111471 -0.511982 -0.354338 -0.111471 -0.612581 0.354338 -0.511982 0.914150 -0.166347 0.764027 0.528776 0.166347 0.914150 -0.528776 0.764027 -0.914150 0.166347 -0.764027 -0.528776 -0.166347 -0.914150 0.528776 -0.764027 0.983844 -0.179030 0.822276 0.569090 0.179030 0.983844 -0.569090 0.822276 -0.983844 0.179030 -0.822276 -0.569090 -0.179030 -0.983844 0.569090 -0.822276 1.051462 -0.191334 0.878790 0.608202 0.191334 1.051462 -0.608202 0.878790 -1.051462 0.191334 -0.878790 -0.608202 -0.191334 -1.051462 0.608202 -0.878790 1.302929 -0.237093 1.088960 0.753660 0.237093 1.302929 -0.753660 1.088960 -1.302929 0.237093 -1.088960 -0.753660 -0.237093 -1.302929 0.753660 -1.088960
0.190000 0.617411 -0.118740 0.520538 0.352614 0.118740 0.617411 -0.352614 0.520538 -0.617411 0.118740 -0.520538 -0.352614 -0.118740 -0.617411 0.352614 -0.520538 0.913770 -0.175736 0.770397 0.521869 0.175736 0.913770 -0.521869 0.770397 -0.913770 0.175736 -0.770397 -0.521869 -0.175736 -0.913770 0.521869 -0.770397 0.982004 -0.188859 0.827925 0.560838 0.188859 0.982004 -0.560838 0.827925 -0.982004 0.188859 -0.827925 -0.560838 -0.188859 -0.982004 0.560838 -0.827925 1.048115 -0.201573 0.883663 0.598595 0.201573 1.048115 -0.598595 0.883663 -1.048115 0.201573 -0.883663 -0.598595 -0.201573 -1.048115 0.598595 -0.883663 1.293187 -0.248706 1.090283 0.738560 0.248706 1.293187 -0.738560 1.090283 -1.293187 0.248706 -1.090283 -0.738560 -0.248706 -1.293187 0.738560 -1.090283
