# circle in zeta-plane case 8
# xi0 = -0.1, eta0 = 0.2, r = 1.11803
# xi   eta   xi/a   eta/a
0.122900 1.295589 0.122900 1.295589
0.113331 1.297493 0.113331 1.297493
0.103746 1.299312 0.103746 1.299312
0.094145 1.301049 0.094145 1.301049
0.084529 1.302701 0.084529 1.302701
0.074899 1.304269 0.074899 1.304269
0.065256 1.305753 0.065256 1.305753
0.055600 1.307153 0.055600 1.307153
0.045933 1.308469 0.045933 1.308469
0.036254 1.309700 0.036254 1.309700
0.026565 1.310847 0.026565 1.310847
0.016866 1.311909 0.016866 1.311909
0.007159 1.312887 0.007159 1.312887
-0.002557 1.313780 -0.002557 1.313780
-0.012280 1.314587 -0.012280 1.314587
-0.022010 1.315311 -0.022010 1.315311
-0.031746 1.315949 -0.031746 1.315949
-0.041487 1.316502 -0.041487 1.316502
-0.051232 1.316970 -0.051232 1.316970
-0.060981 1.317353 -0.060981 1.317353
-0.070733 1.317651 -0.070733 1.317651
-0.080488 1.317864 -0.080488 1.317864
-0.090243 1.317991 -0.090243 1.317991
-0.100000 1.318034 -0.100000 1.318034
-0.109757 1.317991 -0.109757 1.317991
-0.119512 1.317864 -0.119512 1.317864
-0.129267 1.317651 -0.129267 1.317651
-0.139019 1.317353 -0.139019 1.317353
-0.148768 1.316970 -0.148768 1.316970
-0.158513 1.316502 -0.158513 1.316502
-0.168254 1.315949 -0.168254 1.315949
-0.177990 1.315311 -0.177990 1.315311
-0.187720 1.314587 -0.187720 1.314587
-0.197443 1.313780 -0.197443 1.313780
-0.207159 1.312887 -0.207159 1.312887
-0.216866 1.311909 -0.216866 1.311909
-0.226565 1.310847 -0.226565 1.310847
-0.236254 1.309700 -0.236254 1.309700
-0.245933 1.308469 -0.245933 1.308469
-0.255600 1.307153 -0.255600 1.307153
-0.265256 1.305753 -0.265256 1.305753
-0.274899 1.304269 -0.274899 1.304269
-0.284529 1.302701 -0.284529 1.302701
-0.294145 1.301049 -0.294145 1.301049
-0.303746 1.299312 -0.303746 1.299312
-0.313331 1.297493 -0.313331 1.297493
-0.322900 1.295589 -0.322900 1.295589
-0.332452 1.293602 -0.332452 1.293602
-0.341987 1.291532 -0.341987 1.291532
-0.351503 1.289379 -0.351503 1.289379
-0.361000 1.287143 -0.361000 1.287143
-0.370477 1.284824 -0.370477 1.284824
-0.379933 1.282422 -0.379933 1.282422
-0.389368 1.279938 -0.389368 1.279938
-0.398782 1.277372 -0.398782 1.277372
-0.408172 1.274723 -0.408172 1.274723
-0.417539 1.271993 -0.417539 1.271993
-0.426882 1.269181 -0.426882 1.269181
-0.436199 1.266288 -0.436199 1.266288
-0.445492 1.263314 -0.445492 1.263314
-0.454757 1.260258 -0.454757 1.260258
-0.463996 1.257122 -0.463996 1.257122
-0.473207 1.253905 -0.473207 1.253905
-0.482390 1.250608 -0.482390 1.250608
-0.491544 1.247231 -0.491544 1.247231
-0.500668 1.243775 -0.500668 1.243775
-0.509761 1.240238 -0.509761 1.240238
-0.518823 1.236623 -0.518823 1.236623
-0.527853 1.232929 -0.527853 1.232929
-0.536851 1.229156 -0.536851 1.229156
-0.545815 1.225304 -0.545815 1.225304
-0.554745 1.221375 -0.554745 1.221375
-0.563641 1.217368 -0.563641 1.217368
-0.572502 1.213283 -0.572502 1.213283
-0.581326 1.209121 -0.581326 1.209121
-0.590114 1.204882 -0.590114 1.204882
-0.598864 1.200567 -0.598864 1.200567
-0.607577 1.196176 -0.607577 1.196176
-0.616251 1.191708 -0.616251 1.191708
-0.624885 1.187165 -0.624885 1.187165
-0.633480 1.182547 -0.633480 1.182547
-0.642034 1.177855 -0.642034 1.177855
-0.650546 1.173087 -0.650546 1.173087
-0.659017 1.168246 -0.659017 1.168246
-0.667445 1.163331 -0.667445 1.163331
-0.675830 1.158342 -0.675830 1.158342
-0.684171 1.153281 -0.684171 1.153281
-0.692468 1.148147 -0.692468 1.148147
-0.700719 1.142940 -0.700719 1.142940
-0.708925 1.137662 -0.708925 1.137662
-0.717084 1.132313 -0.717084 1.132313
-0.725197 1.126892 -0.725197 1.126892
-0.733261 1.121401 -0.733261 1.121401
-0.741278 1.115840 -0.741278 1.115840
-0.749246 1.110209 -0.749246 1.110209
-0.757164 1.104508 -0.757164 1.104508
-0.765032 1.098739 -0.765032 1.098739
-0.772850 1.092902 -0.772850 1.092902
-0.780616 1.086996 -0.780616 1.086996
-0.788330 1.081023 -0.788330 1.081023
-0.795993 1.074983 -0.795993 1.074983
-0.803602 1.068876 -0.803602 1.068876
-0.811157 1.062703 -0.811157 1.062703
-0.818658 1.056464 -0.818658 1.056464
-0.826105 1.050160 -0.826105 1.050160
-0.833496 1.043791 -0.833496 1.043791
-0.840832 1.037358 -0.840832 1.037358
-0.848111 1.030861 -0.848111 1.030861
-0.855333 1.024301 -0.855333 1.024301
-0.862497 1.017678 -0.862497 1.017678
-0.869604 1.010993 -0.869604 1.010993
-0.876652 1.004246 -0.876652 1.004246
-0.883640 0.997438 -0.883640 0.997438
-0.890569 0.990569 -0.890569 0.990569
-0.897438 0.983640 -0.897438 0.983640
-0.904246 0.976652 -0.904246 0.976652
-0.910993 0.969604 -0.910993 0.969604
-0.917678 0.962497 -0.917678 0.962497
-0.924301 0.955333 -0.924301 0.955333
-0.930861 0.948111 -0.930861 0.948111
-0.937358 0.940832 -0.937358 0.940832
-0.943791 0.933496 -0.943791 0.933496
-0.950160 0.926105 -0.950160 0.926105
-0.956464 0.918658 -0.956464 0.918658
-0.962703 0.911157 -0.962703 0.911157
-0.968876 0.903602 -0.968876 0.903602
-0.974983 0.895993 -0.974983 0.895993
-0.981023 0.888330 -0.981023 0.888330
-0.986996 0.880616 -0.986996 0.880616
-0.992902 0.872850 -0.992902 0.872850
-0.998739 0.865032 -0.998739 0.865032
-1.004508 0.857164 -1.004508 0.857164
-1.010209 0.849246 -1.010209 0.849246
-1.015840 0.841278 -1.015840 0.841278
-1.021401 0.833261 -1.021401 0.833261
-1.026892 0.825197 -1.026892 0.825197
-1.032313 0.817084 -1.032313 0.817084
-1.037662 0.808925 -1.037662 0.808925
-1.042940 0.800719 -1.042940 0.800719
-1.048147 0.792468 -1.048147 0.792468
-1.053281 0.784171 -1.053281 0.784171
-1.058342 0.775830 -1.058342 0.775830
-1.063331 0.767445 -1.063331 0.767445
-1.068246 0.759017 -1.068246 0.759017
-1.073087 0.750546 -1.073087 0.750546
-1.077855 0.742034 -1.077855 0.742034
-1.082547 0.733480 -1.082547 0.733480
-1.087165 0.724885 -1.087165 0.724885
-1.091708 0.716251 -1.091708 0.716251
-1.096176 0.707577 -1.096176 0.707577
-1.100567 0.698864 -1.100567 0.698864
-1.104882 0.690114 -1.104882 0.690114
-1.109121 0.681326 -1.109121 0.681326
-1.113283 0.672502 -1.113283 0.672502
-1.117368 0.663641 -1.117368 0.663641
-1.121375 0.654745 -1.121375 0.654745
-1.125304 0.645815 -1.125304 0.645815
-1.129156 0.636851 -1.129156 0.636851
-1.132929 0.627853 -1.132929 0.627853
-1.136623 0.618823 -1.136623 0.618823
-1.140238 0.609761 -1.140238 0.609761
-1.143775 0.600668 -1.143775 0.600668
-1.147231 0.591544 -1.147231 0.591544
-1.150608 0.582390 -1.150608 0.582390
-1.153905 0.573207 -1.153905 0.573207
-1.157122 0.563996 -1.157122 0.563996
-1.160258 0.554757 -1.160258 0.554757
-1.163314 0.545492 -1.163314 0.545492
-1.166288 0.536199 -1.166288 0.536199
-1.169181 0.526882 -1.169181 0.526882
-1.171993 0.517539 -1.171993 0.517539
-1.174723 0.508172 -1.174723 0.508172
-1.177372 0.498782 -1.177372 0.498782
-1.179938 0.489368 -1.179938 0.489368
-1.182422 0.479933 -1.182422 0.479933
-1.184824 0.470477 -1.184824 0.470477
-1.187143 0.461000 -1.187143 0.461000
-1.189379 0.451503 -1.189379 0.451503
-1.191532 0.441987 -1.191532 0.441987
-1.193602 0.432452 -1.193602 0.432452
-1.195589 0.422900 -1.195589 0.422900
-1.197493 0.413331 -1.197493 0.413331
-1.199312 0.403746 -1.199312 0.403746
-1.201049 0.394145 -1.201049 0.394145
-1.202701 0.384529 -1.202701 0.384529
-1.204269 0.374899 -1.204269 0.374899
-1.205753 0.365256 -1.205753 0.365256
-1.207153 0.355600 -1.207153 0.355600
-1.208469 0.345933 -1.208469 0.345933
-1.209700 0.336254 -1.209700 0.336254
-1.210847 0.326565 -1.210847 0.326565
-1.211909 0.316866 -1.211909 0.316866
-1.212887 0.307159 -1.212887 0.307159
-1.213780 0.297443 -1.213780 0.297443
-1.214587 0.287720 -1.214587 0.287720
-1.215311 0.277990 -1.215311 0.277990
-1.215949 0.268254 -1.215949 0.268254
-1.216502 0.258513 -1.216502 0.258513
-1.216970 0.248768 -1.216970 0.248768
-1.217353 0.239019 -1.217353 0.239019
-1.217651 0.229267 -1.217651 0.229267
-1.217864 0.219512 -1.217864 0.219512
-1.217991 0.209757 -1.217991 0.209757
-1.218034 0.200000 -1.218034 0.200000
-1.217991 0.190243 -1.217991 0.190243
-1.217864 0.180488 -1.217864 0.180488
-1.217651 0.170733 -1.217651 0.170733
-1.217353 0.160981 -1.217353 0.160981
-1.216970 0.151232 -1.216970 0.151232
-1.216502 0.141487 -1.216502 0.141487
-1.215949 0.131746 -1.215949 0.131746
-1.215311 0.122010 -1.215311 0.122010
-1.214587 0.112280 -1.214587 0.112280
-1.213780 0.102557 -1.213780 0.102557
-1.212887 0.092841 -1.212887 0.092841
-1.211909 0.083134 -1.211909 0.083134
-1.210847 0.073435 -1.210847 0.073435
-1.209700 0.063746 -1.209700 0.063746
-1.208469 0.054067 -1.208469 0.054067
-1.207153 0.044400 -1.207153 0.044400
-1.205753 0.034744 -1.205753 0.034744
-1.204269 0.025101 -1.204269 0.025101
-1.202701 0.015471 -1.202701 0.015471
-1.201049 0.005855 -1.201049 0.005855
-1.199312 -0.003746 -1.199312 -0.003746
-1.197493 -0.013331 -1.197493 -0.013331
-1.195589 -0.022900 -1.195589 -0.022900
-1.193602 -0.032452 -1.193602 -0.032452
-1.191532 -0.041987 -1.191532 -0.041987
-1.189379 -0.051503 -1.189379 -0.051503
-1.187143 -0.061000 -1.187143 -0.061000
-1.184824 -0.070477 -1.184824 -0.070477
-1.182422 -0.079933 -1.182422 -0.079933
-1.179938 -0.089368 -1.179938 -0.089368
-1.177372 -0.098782 -1.177372 -0.098782
-1.174723 -0.108172 -1.174723 -0.108172
-1.171993 -0.117539 -1.171993 -0.117539
-1.169181 -0.126882 -1.169181 -0.126882
-1.166288 -0.136199 -1.166288 -0.136199
-1.163314 -0.145492 -1.163314 -0.145492
-1.160258 -0.154757 -1.160258 -0.154757
-1.157122 -0.163996 -1.157122 -0.163996
-1.153905 -0.173207 -1.153905 -0.173207
-1.150608 -0.182390 -1.150608 -0.182390
-1.147231 -0.191544 -1.147231 -0.191544
-1.143775 -0.200668 -1.143775 -0.200668
-1.140238 -0.209761 -1.140238 -0.209761
-1.136623 -0.218823 -1.136623 -0.218823
-1.132929 -0.227853 -1.132929 -0.227853
-1.129156 -0.236851 -1.129156 -0.236851
-1.125304 -0.245815 -1.125304 -0.245815
-1.121375 -0.254745 -1.121375 -0.254745
-1.117368 -0.263641 -1.117368 -0.263641
-1.113283 -0.272502 -1.113283 -0.272502
-1.109121 -0.281326 -1.109121 -0.281326
-1.104882 -0.290114 -1.104882 -0.290114
-1.100567 -0.298864 -1.100567 -0.298864
-1.096176 -0.307577 -1.096176 -0.307577
-1.091708 -0.316251 -1.091708 -0.316251
-1.087165 -0.324885 -1.087165 -0.324885
-1.082547 -0.333480 -1.082547 -0.333480
-1.077855 -0.342034 -1.077855 -0.342034
-1.073087 -0.350546 -1.073087 -0.350546
-1.068246 -0.359017 -1.068246 -0.359017
-1.063331 -0.367445 -1.063331 -0.367445
-1.058342 -0.375830 -1.058342 -0.375830
-1.053281 -0.384171 -1.053281 -0.384171
-1.048147 -0.392468 -1.048147 -0.392468
-1.042940 -0.400719 -1.042940 -0.400719
-1.037662 -0.408925 -1.037662 -0.408925
-1.032313 -0.417084 -1.032313 -0.417084
-1.026892 -0.425197 -1.026892 -0.425197
-1.021401 -0.433261 -1.021401 -0.433261
-1.015840 -0.441278 -1.015840 -0.441278
-1.010209 -0.449246 -1.010209 -0.449246
-1.004508 -0.457164 -1.004508 -0.457164
-0.998739 -0.465032 -0.998739 -0.465032
-0.992902 -0.472850 -0.992902 -0.472850
-0.986996 -0.480616 -0.986996 -0.480616
-0.981023 -0.488330 -0.981023 -0.488330
-0.974983 -0.495993 -0.974983 -0.495993
-0.968876 -0.503602 -0.968876 -0.503602
-0.962703 -0.511157 -0.962703 -0.511157
-0.956464 -0.518658 -0.956464 -0.518658
-0.950160 -0.526105 -0.950160 -0.526105
-0.943791 -0.533496 -0.943791 -0.533496
-0.937358 -0.540832 -0.937358 -0.540832
-0.930861 -0.548111 -0.930861 -0.548111
-0.924301 -0.555333 -0.924301 -0.555333
-0.917678 -0.562497 -0.917678 -0.562497
-0.910993 -0.569604 -0.910993 -0.569604
-0.904246 -0.576652 -0.904246 -0.576652
-0.897438 -0.583640 -0.897438 -0.583640
-0.890569 -0.590569 -0.890569 -0.590569
-0.883640 -0.597438 -0.883640 -0.597438
-0.876652 -0.604246 -0.876652 -0.604246
-0.869604 -0.610993 -0.869604 -0.610993
-0.862497 -0.617678 -0.862497 -0.617678
-0.855333 -0.624301 -0.855333 -0.624301
-0.848111 -0.630861 -0.848111 -0.630861
-0.840832 -0.637358 -0.840832 -0.637358
-0.833496 -0.643791 -0.833496 -0.643791
-0.826105 -0.650160 -0.826105 -0.650160
-0.818658 -0.656464 -0.818658 -0.656464
-0.811157 -0.662703 -0.811157 -0.662703
-0.803602 -0.668876 -0.803602 -0.668876
-0.795993 -0.674983 -0.795993 -0.674983
-0.788330 -0.681023 -0.788330 -0.681023
-0.780616 -0.686996 -0.780616 -0.686996
-0.772850 -0.692902 -0.772850 -0.692902
-0.765032 -0.698739 -0.765032 -0.698739
-0.757164 -0.704508 -0.757164 -0.704508
-0.749246 -0.710209 -0.749246 -0.710209
-0.741278 -0.715840 -0.741278 -0.715840
-0.733261 -0.721401 -0.733261 -0.721401
-0.725197 -0.726892 -0.725197 -0.726892
-0.717084 -0.732313 -0.717084 -0.732313
-0.708925 -0.737662 -0.708925 -0.737662
-0.700719 -0.742940 -0.700719 -0.742940
-0.692468 -0.748147 -0.692468 -0.748147
-0.684171 -0.753281 -0.684171 -0.753281
-0.675830 -0.758342 -0.675830 -0.758342
-0.667445 -0.763331 -0.667445 -0.763331
-0.659017 -0.768246 -0.659017 -0.768246
-0.650546 -0.773087 -0.650546 -0.773087
-0.642034 -0.777855 -0.642034 -0.777855
-0.633480 -0.782547 -0.633480 -0.782547
-0.624885 -0.787165 -0.624885 -0.787165
-0.616251 -0.791708 -0.616251 -0.791708
-0.607577 -0.796176 -0.607577 -0.796176
-0.598864 -0.800567 -0.598864 -0.800567
-0.590114 -0.804882 -0.590114 -0.804882
-0.581326 -0.809121 -0.581326 -0.809121
-0.572502 -0.813283 -0.572502 -0.813283
-0.563641 -0.817368 -0.563641 -0.817368
-0.554745 -0.821375 -0.554745 -0.821375
-0.545815 -0.825304 -0.545815 -0.825304
-0.536851 -0.829156 -0.536851 -0.829156
-0.527853 -0.832929 -0.527853 -0.832929
-0.518823 -0.836623 -0.518823 -0.836623
-0.509761 -0.840238 -0.509761 -0.840238
-0.500668 -0.843775 -0.500668 -0.843775
-0.491544 -0.847231 -0.491544 -0.847231
-0.482390 -0.850608 -0.482390 -0.850608
-0.473207 -0.853905 -0.473207 -0.853905
-0.463996 -0.857122 -0.463996 -0.857122
-0.454757 -0.860258 -0.454757 -0.860258
-0.445492 -0.863314 -0.445492 -0.863314
-0.436199 -0.866288 -0.436199 -0.866288
-0.426882 -0.869181 -0.426882 -0.869181
-0.417539 -0.871993 -0.417539 -0.871993
-0.408172 -0.874723 -0.408172 -0.874723
-0.398782 -0.877372 -0.398782 -0.877372
-0.389368 -0.879938 -0.389368 -0.879938
-0.379933 -0.882422 -0.379933 -0.882422
-0.370477 -0.884824 -0.370477 -0.884824
-0.361000 -0.887143 -0.361000 -0.887143
-0.351503 -0.889379 -0.351503 -0.889379
-0.341987 -0.891532 -0.341987 -0.891532
-0.332452 -0.893602 -0.332452 -0.893602
-0.322900 -0.895589 -0.322900 -0.895589
-0.313331 -0.897493 -0.313331 -0.897493
-0.303746 -0.899312 -0.303746 -0.899312
-0.294145 -0.901049 -0.294145 -0.901049
-0.284529 -0.902701 -0.284529 -0.902701
-0.274899 -0.904269 -0.274899 -0.904269
-0.265256 -0.905753 -0.265256 -0.905753
-0.255600 -0.907153 -0.255600 -0.907153
