# circle in zeta-plane case 5
# xi0 = -0.2, eta0 = 0, r = 1.2
# xi   eta   xi/a   eta/a
0.039242 1.175910 0.039242 1.175910
0.028971 1.177953 0.028971 1.177953
0.018683 1.179906 0.018683 1.179906
0.008378 1.181769 0.008378 1.181769
-0.001943 1.183543 -0.001943 1.183543
-0.012279 1.185226 -0.012279 1.185226
-0.022629 1.186819 -0.022629 1.186819
-0.032992 1.188322 -0.032992 1.188322
-0.043369 1.189734 -0.043369 1.189734
-0.053757 1.191055 -0.053757 1.191055
-0.064156 1.192286 -0.064156 1.192286
-0.074566 1.193426 -0.074566 1.193426
-0.084985 1.194475 -0.084985 1.194475
-0.095413 1.195434 -0.095413 1.195434
-0.105849 1.196301 -0.105849 1.196301
-0.116292 1.197077 -0.116292 1.197077
-0.126742 1.197762 -0.126742 1.197762
-0.137197 1.198355 -0.137197 1.198355
-0.147657 1.198858 -0.147657 1.198858
-0.158121 1.199269 -0.158121 1.199269
-0.168588 1.199589 -0.168588 1.199589
-0.179057 1.199817 -0.179057 1.199817
-0.189528 1.199954 -0.189528 1.199954
-0.200000 1.200000 -0.200000 1.200000
-0.210472 1.199954 -0.210472 1.199954
-0.220943 1.199817 -0.220943 1.199817
-0.231412 1.199589 -0.231412 1.199589
-0.241879 1.199269 -0.241879 1.199269
-0.252343 1.198858 -0.252343 1.198858
-0.262803 1.198355 -0.262803 1.198355
-0.273258 1.197762 -0.273258 1.197762
-0.283708 1.197077 -0.283708 1.197077
-0.294151 1.196301 -0.294151 1.196301
-0.304587 1.195434 -0.304587 1.195434
-0.315015 1.194475 -0.315015 1.194475
-0.325434 1.193426 -0.325434 1.193426
-0.335844 1.192286 -0.335844 1.192286
-0.346243 1.191055 -0.346243 1.191055
-0.356631 1.189734 -0.356631 1.189734
-0.367008 1.188322 -0.367008 1.188322
-0.377371 1.186819 -0.377371 1.186819
-0.387721 1.185226 -0.387721 1.185226
-0.398057 1.183543 -0.398057 1.183543
-0.408378 1.181769 -0.408378 1.181769
-0.418683 1.179906 -0.418683 1.179906
-0.428971 1.177953 -0.428971 1.177953
-0.439242 1.175910 -0.439242 1.175910
-0.449494 1.173777 -0.449494 1.173777
-0.459728 1.171555 -0.459728 1.171555
-0.469941 1.169244 -0.469941 1.169244
-0.480134 1.166844 -0.480134 1.166844
-0.490306 1.164355 -0.490306 1.164355
-0.500456 1.161777 -0.500456 1.161777
-0.510583 1.159111 -0.510583 1.159111
-0.520686 1.156357 -0.520686 1.156357
-0.530765 1.153514 -0.530765 1.153514
-0.540818 1.150584 -0.540818 1.150584
