# Joukowski airfoil case 7
# a = 1, xi0 = -0.1, eta0 = 0.1, r = 1.10454
# x   y   x/a   y/a
0.221584 0.343326 0.221584 0.343326
0.205317 0.345251 0.205317 0.345251
0.189045 0.347143 0.189045 0.347143
0.172767 0.349003 0.172767 0.349003
0.156486 0.350831 0.156486 0.350831
0.140202 0.352626 0.140202 0.352626
0.123916 0.354388 0.123916 0.354388
0.107629 0.356115 0.107629 0.356115
0.091342 0.357809 0.091342 0.357809
0.075056 0.359469 0.075056 0.359469
0.058772 0.361093 0.058772 0.361093
0.042491 0.362683 0.042491 0.362683
0.026214 0.364238 0.026214 0.364238
0.009942 0.365756 0.009942 0.365756
-0.006324 0.367239 -0.006324 0.367239
-0.022584 0.368685 -0.022584 0.368685
-0.038835 0.370095 -0.038835 0.370095
-0.055078 0.371468 -0.055078 0.371468
-0.071311 0.372804 -0.071311 0.372804
-0.087533 0.374102 -0.087533 0.374102
-0.103744 0.375363 -0.103744 0.375363
-0.119942 0.376586 -0.119942 0.376586
-0.136126 0.377770 -0.136126 0.377770
-0.152296 0.378916 -0.152296 0.378916
-0.168451 0.380024 -0.168451 0.380024
-0.184589 0.381092 -0.184589 0.381092
-0.200709 0.382122 -0.200709 0.382122
-0.216812 0.383112 -0.216812 0.383112
-0.232895 0.384062 -0.232895 0.384062
-0.248959 0.384973 -0.248959 0.384973
-0.265001 0.385844 -0.265001 0.385844
-0.281021 0.386675 -0.281021 0.386675
-0.297018 0.387465 -0.297018 0.387465
-0.312992 0.388215 -0.312992 0.388215
-0.328940 0.388924 -0.328940 0.388924
-0.344863 0.389593 -0.344863 0.389593
-0.360760 0.390221 -0.360760 0.390221
-0.376629 0.390807 -0.376629 0.390807
-0.392469 0.391353 -0.392469 0.391353
-0.408281 0.391857 -0.408281 0.391857
-0.424062 0.392320 -0.424062 0.392320
-0.439812 0.392741 -0.439812 0.392741
-0.455530 0.393120 -0.455530 0.393120
-0.471215 0.393458 -0.471215 0.393458
-0.486866 0.393754 -0.486866 0.393754
-0.502483 0.394008 -0.502483 0.394008
-0.518064 0.394221 -0.518064 0.394221
-0.533609 0.394391 -0.533609 0.394391
-0.549116 0.394519 -0.549116 0.394519
-0.564585 0.394605 -0.564585 0.394605
-0.580015 0.394649 -0.580015 0.394649
-0.595405 0.394651 -0.595405 0.394651
-0.610755 0.394610 -0.610755 0.394610
-0.626062 0.394527 -0.626062 0.394527
-0.641327 0.394402 -0.641327 0.394402
-0.656549 0.394235 -0.656549 0.394235
-0.671727 0.394026 -0.671727 0.394026
-0.686859 0.393774 -0.686859 0.393774
-0.701945 0.393480 -0.701945 0.393480
-0.716985 0.393144 -0.716985 0.393144
-0.731977 0.392766 -0.731977 0.392766
-0.746920 0.392346 -0.746920 0.392346
-0.761814 0.391884 -0.761814 0.391884
-0.776658 0.391379 -0.776658 0.391379
-0.791450 0.390833 -0.791450 0.390833
-0.806191 0.390245 -0.806191 0.390245
-0.820880 0.389615 -0.820880 0.389615
-0.835514 0.388944 -0.835514 0.388944
-0.850095 0.388231 -0.850095 0.388231
-0.864620 0.387476 -0.864620 0.387476
-0.879089 0.386680 -0.879089 0.386680
-0.893502 0.385843 -0.893502 0.385843
-0.907857 0.384964 -0.907857 0.384964
-0.922153 0.384045 -0.922153 0.384045
-0.936391 0.383084 -0.936391 0.383084
-0.950568 0.382083 -0.950568 0.382083
-0.964684 0.381041 -0.964684 0.381041
-0.978739 0.379959 -0.978739 0.379959
-0.992732 0.378837 -0.992732 0.378837
-1.006661 0.377674 -1.006661 0.377674
-1.020527 0.376472 -1.020527 0.376472
-1.034328 0.375230 -1.034328 0.375230
-1.048063 0.373948 -1.048063 0.373948
-1.061732 0.372627 -1.061732 0.372627
-1.075334 0.371266 -1.075334 0.371266
-1.088868 0.369867 -1.088868 0.369867
-1.102334 0.368429 -1.102334 0.368429
-1.115730 0.366952 -1.115730 0.366952
-1.129056 0.365437 -1.129056 0.365437
-1.142311 0.363884 -1.142311 0.363884
-1.155495 0.362294 -1.155495 0.362294
-1.168606 0.360665 -1.168606 0.360665
-1.181645 0.359000 -1.181645 0.359000
-1.194609 0.357297 -1.194609 0.357297
-1.207499 0.355557 -1.207499 0.355557
-1.220314 0.353781 -1.220314 0.353781
-1.233053 0.351969 -1.233053 0.351969
-1.245715 0.350121 -1.245715 0.350121
-1.258299 0.348237 -1.258299 0.348237
-1.270805 0.346318 -1.270805 0.346318
-1.283233 0.344363 -1.283233 0.344363
-1.295581 0.342374 -1.295581 0.342374
