# circle in zeta-plane case 1
# xi0 = 0, eta0 = 0.1, r = 1.00499
# xi   eta   xi/a   eta/a
1.004988 0.100000 1.004988 0.100000
1.004949 0.108770 1.004949 0.108770
1.004834 0.117539 1.004834 0.117539
1.004643 0.126308 1.004643 0.126308
1.004375 0.135074 1.004375 0.135074
1.004031 0.143837 1.004031 0.143837
1.003610 0.152597 1.003610 0.152597
1.003113 0.161353 1.003113 0.161353
1.002539 0.170104 1.002539 0.170104
1.001890 0.178850 1.001890 0.178850
1.001163 0.187590 1.001163 0.187590
1.000361 0.196324 1.000361 0.196324
0.999482 0.205050 0.999482 0.205050
0.998527 0.213768 0.998527 0.213768
0.997497 0.222477 0.997497 0.222477
0.996390 0.231177 0.996390 0.231177
0.995207 0.239867 0.995207 0.239867
0.993949 0.248547 0.993949 0.248547
0.992614 0.257215 0.992614 0.257215
0.991205 0.265871 0.991205 0.265871
0.989720 0.274514 0.989720 0.274514
0.988159 0.283144 0.988159 0.283144
0.986523 0.291761 0.986523 0.291761
0.984812 0.300362 0.984812 0.300362
0.983026 0.308949 0.983026 0.308949
0.981165 0.317519 0.981165 0.317519
0.979230 0.326073 0.979230 0.326073
0.977220 0.334610 0.977220 0.334610
0.975135 0.343128 0.975135 0.343128
0.972976 0.351629 0.972976 0.351629
0.970743 0.360110 0.970743 0.360110
0.968437 0.368571 0.968437 0.368571
0.966056 0.377012 0.966056 0.377012
0.963602 0.385432 0.963602 0.385432
0.961074 0.393830 0.961074 0.393830
0.958474 0.402206 0.958474 0.402206
0.955800 0.410558 0.955800 0.410558
0.953053 0.418887 0.953053 0.418887
0.950234 0.427192 0.950234 0.427192
0.947343 0.435472 0.947343 0.435472
0.944379 0.443726 0.944379 0.443726
0.941344 0.451954 0.941344 0.451954
0.938237 0.460155 0.938237 0.460155
0.935058 0.468329 0.935058 0.468329
0.931808 0.476475 0.931808 0.476475
0.928487 0.484592 0.928487 0.484592
0.925096 0.492680 0.925096 0.492680
0.921634 0.500738 0.921634 0.500738
0.918102 0.508765 0.918102 0.508765
0.914500 0.516762 0.914500 0.516762
0.910828 0.524726 0.910828 0.524726
0.907087 0.532658 0.907087 0.532658
0.903277 0.540558 0.903277 0.540558
0.899398 0.548423 0.899398 0.548423
0.895450 0.556255 0.895450 0.556255
0.891435 0.564052 0.891435 0.564052
0.887351 0.571813 0.887351 0.571813
0.883200 0.579539 0.883200 0.579539
0.878982 0.587228 0.878982 0.587228
0.874697 0.594880 0.874697 0.594880
0.870345 0.602494 0.870345 0.602494
0.865927 0.610070 0.865927 0.610070
0.861442 0.617607 0.861442 0.617607
0.856893 0.625105 0.856893 0.625105
0.852278 0.632562 0.852278 0.632562
0.847598 0.639979 0.847598 0.639979
0.842853 0.647355 0.842853 0.647355
0.838045 0.654690 0.838045 0.654690
0.833172 0.661982 0.833172 0.661982
0.828237 0.669231 0.828237 0.669231
0.823238 0.676437 0.823238 0.676437
0.818176 0.683599 0.818176 0.683599
0.813052 0.690717 0.813052 0.690717
0.807866 0.697790 0.807866 0.697790
0.802619 0.704817 0.802619 0.704817
0.797310 0.711798 0.797310 0.711798
0.791941 0.718732 0.791941 0.718732
0.786511 0.725619 0.786511 0.725619
0.781022 0.732459 0.781022 0.732459
0.775473 0.739251 0.775473 0.739251
0.769865 0.745994 0.769865 0.745994
0.764199 0.752687 0.764199 0.752687
0.758474 0.759331 0.758474 0.759331
0.752691 0.765925 0.752691 0.765925
0.746851 0.772468 0.746851 0.772468
0.740955 0.778960 0.740955 0.778960
0.735001 0.785400 0.735001 0.785400
0.728992 0.791788 0.728992 0.791788
0.722928 0.798123 0.722928 0.798123
0.716808 0.804405 0.716808 0.804405
0.710634 0.810634 0.710634 0.810634
0.704405 0.816808 0.704405 0.816808
0.698123 0.822928 0.698123 0.822928
0.691788 0.828992 0.691788 0.828992
0.685400 0.835001 0.685400 0.835001
0.678960 0.840955 0.678960 0.840955
0.672468 0.846851 0.672468 0.846851
0.665925 0.852691 0.665925 0.852691
0.659331 0.858474 0.659331 0.858474
0.652687 0.864199 0.652687 0.864199
0.645994 0.869865 0.645994 0.869865
0.639251 0.875473 0.639251 0.875473
0.632459 0.881022 0.632459 0.881022
0.625619 0.886511 0.625619 0.886511
0.618732 0.891941 0.618732 0.891941
0.611798 0.897310 0.611798 0.897310
0.604817 0.902619 0.604817 0.902619
0.597790 0.907866 0.597790 0.907866
0.590717 0.913052 0.590717 0.913052
0.583599 0.918176 0.583599 0.918176
0.576437 0.923238 0.576437 0.923238
0.569231 0.928237 0.569231 0.928237
0.561982 0.933172 0.561982 0.933172
0.554690 0.938045 0.554690 0.938045
0.547355 0.942853 0.547355 0.942853
0.539979 0.947598 0.539979 0.947598
0.532562 0.952278 0.532562 0.952278
0.525105 0.956893 0.525105 0.956893
0.517607 0.961442 0.517607 0.961442
0.510070 0.965927 0.510070 0.965927
0.502494 0.970345 0.502494 0.970345
0.494880 0.974697 0.494880 0.974697
0.487228 0.978982 0.487228 0.978982
0.479539 0.983200 0.479539 0.983200
0.471813 0.987351 0.471813 0.987351
0.464052 0.991435 0.464052 0.991435
0.456255 0.995450 0.456255 0.995450
0.448423 0.999398 0.448423 0.999398
0.440558 1.003277 0.440558 1.003277
0.432658 1.007087 0.432658 1.007087
0.424726 1.010828 0.424726 1.010828
0.416762 1.014500 0.416762 1.014500
0.408765 1.018102 0.408765 1.018102
0.400738 1.021634 0.400738 1.021634
0.392680 1.025096 0.392680 1.025096
0.384592 1.028487 0.384592 1.028487
0.376475 1.031808 0.376475 1.031808
0.368329 1.035058 0.368329 1.035058
0.360155 1.038237 0.360155 1.038237
0.351954 1.041344 0.351954 1.041344
0.343726 1.044379 0.343726 1.044379
0.335472 1.047343 0.335472 1.047343
0.327192 1.050234 0.327192 1.050234
0.318887 1.053053 0.318887 1.053053
0.310558 1.055800 0.310558 1.055800
0.302206 1.058474 0.302206 1.058474
0.293830 1.061074 0.293830 1.061074
0.285432 1.063602 0.285432 1.063602
0.277012 1.066056 0.277012 1.066056
0.268571 1.068437 0.268571 1.068437
0.260110 1.070743 0.260110 1.070743
0.251629 1.072976 0.251629 1.072976
0.243128 1.075135 0.243128 1.075135
0.234610 1.077220 0.234610 1.077220
0.226073 1.079230 0.226073 1.079230
0.217519 1.081165 0.217519 1.081165
0.208949 1.083026 0.208949 1.083026
0.200362 1.084812 0.200362 1.084812
0.191761 1.086523 0.191761 1.086523
0.183144 1.088159 0.183144 1.088159
0.174514 1.089720 0.174514 1.089720
0.165871 1.091205 0.165871 1.091205
0.157215 1.092614 0.157215 1.092614
0.148547 1.093949 0.148547 1.093949
0.139867 1.095207 0.139867 1.095207
0.131177 1.096390 0.131177 1.096390
0.122477 1.097497 0.122477 1.097497
0.113768 1.098527 0.113768 1.098527
0.105050 1.099482 0.105050 1.099482
0.096324 1.100361 0.096324 1.100361
0.087590 1.101163 0.087590 1.101163
0.078850 1.101890 0.078850 1.101890
0.070104 1.102539 0.070104 1.102539
0.061353 1.103113 0.061353 1.103113
