# circle in zeta-plane case 6
# xi0 = -0.3, eta0 = 0, r = 1.3
# xi   eta   xi/a   eta/a
1.000000 0.000000 1.000000 0.000000
0.999950 0.011344 0.999950 0.011344
0.999802 0.022688 0.999802 0.022688
0.999555 0.034030 0.999555 0.034030
0.999208 0.045369 0.999208 0.045369
0.998763 0.056705 0.998763 0.056705
0.998218 0.068037 0.998218 0.068037
0.997575 0.079363 0.997575 0.079363
0.996833 0.090683 0.996833 0.090683
0.995993 0.101997 0.995993 0.101997
0.995053 0.113302 0.995053 0.113302
0.994015 0.124599 0.994015 0.124599
0.992878 0.135887 0.992878 0.135887
0.991643 0.147164 0.991643 0.147164
0.990310 0.158430 0.990310 0.158430
0.988878 0.169684 0.988878 0.169684
0.987348 0.180925 0.987348 0.180925
0.985721 0.192152 0.985721 0.192152
0.983995 0.203365 0.983995 0.203365
0.982171 0.214562 0.982171 0.214562
0.980250 0.225743 0.980250 0.225743
0.978231 0.236906 0.978231 0.236906
0.976115 0.248052 0.976115 0.248052
0.973902 0.259178 0.973902 0.259178
0.971592 0.270285 0.971592 0.270285
0.969185 0.281371 0.969185 0.281371
0.966681 0.292436 0.966681 0.292436
0.964081 0.303479 0.964081 0.303479
0.961384 0.314498 0.961384 0.314498
0.958592 0.325494 0.958592 0.325494
0.955704 0.336465 0.955704 0.336465
0.952720 0.347410 0.952720 0.347410
0.949640 0.358329 0.949640 0.358329
0.946466 0.369220 0.946466 0.369220
0.943196 0.380083 0.943196 0.380083
0.939832 0.390918 0.939832 0.390918
0.936373 0.401722 0.936373 0.401722
0.932821 0.412496 0.932821 0.412496
0.929174 0.423239 0.929174 0.423239
0.925434 0.433949 0.925434 0.433949
0.921600 0.444626 0.921600 0.444626
0.917674 0.455270 0.917674 0.455270
0.913655 0.465878 0.913655 0.465878
0.909543 0.476452 0.909543 0.476452
0.905339 0.486989 0.905339 0.486989
0.901043 0.497488 0.901043 0.497488
0.896656 0.507950 0.896656 0.507950
0.892178 0.518374 0.892178 0.518374
0.887609 0.528758 0.887609 0.528758
0.882950 0.539101 0.882950 0.539101
0.878200 0.549404 0.878200 0.549404
0.873361 0.559664 0.873361 0.559664
0.868432 0.569882 0.868432 0.569882
0.863415 0.580057 0.863415 0.580057
0.858308 0.590188 0.858308 0.590188
0.853114 0.600273 0.853114 0.600273
0.847832 0.610313 0.847832 0.610313
0.842462 0.620306 0.842462 0.620306
0.837006 0.630253 0.837006 0.630253
0.831462 0.640151 0.831462 0.640151
0.825833 0.650000 0.825833 0.650000
0.820118 0.659800 0.820118 0.659800
0.814317 0.669549 0.814317 0.669549
0.808432 0.679248 0.808432 0.679248
0.802463 0.688895 0.802463 0.688895
0.796409 0.698489 0.796409 0.698489
0.790272 0.708031 0.790272 0.708031
0.784052 0.717518 0.784052 0.717518
0.777749 0.726951 0.777749 0.726951
0.771364 0.736328 0.771364 0.736328
0.764898 0.745649 0.764898 0.745649
0.758350 0.754914 0.758350 0.754914
0.751722 0.764121 0.751722 0.764121
0.745014 0.773270 0.745014 0.773270
0.738226 0.782360 0.738226 0.782360
0.731359 0.791390 0.731359 0.791390
0.724414 0.800360 0.724414 0.800360
0.717391 0.809269 0.717391 0.809269
0.710290 0.818117 0.710290 0.818117
0.703112 0.826902 0.703112 0.826902
0.695858 0.835624 0.695858 0.835624
0.688528 0.844282 0.688528 0.844282
0.681122 0.852877 0.681122 0.852877
0.673642 0.861406 0.673642 0.861406
0.666088 0.869870 0.666088 0.869870
0.658461 0.878267 0.658461 0.878267
0.650760 0.886598 0.650760 0.886598
0.642987 0.894861 0.642987 0.894861
0.635142 0.903056 0.635142 0.903056
0.627226 0.911182 0.627226 0.911182
0.619239 0.919239 0.619239 0.919239
0.611182 0.927226 0.611182 0.927226
0.603056 0.935142 0.603056 0.935142
0.594861 0.942987 0.594861 0.942987
0.586598 0.950760 0.586598 0.950760
0.578267 0.958461 0.578267 0.958461
0.569870 0.966088 0.569870 0.966088
0.561406 0.973642 0.561406 0.973642
0.552877 0.981122 0.552877 0.981122
0.544282 0.988528 0.544282 0.988528
0.535624 0.995858 0.535624 0.995858
0.526902 1.003112 0.526902 1.003112
0.518117 1.010290 0.518117 1.010290
0.509269 1.017391 0.509269 1.017391
0.500360 1.024414 0.500360 1.024414
0.491390 1.031359 0.491390 1.031359
0.482360 1.038226 0.482360 1.038226
0.473270 1.045014 0.473270 1.045014
0.464121 1.051722 0.464121 1.051722
0.454914 1.058350 0.454914 1.058350
0.445649 1.064898 0.445649 1.064898
0.436328 1.071364 0.436328 1.071364
0.426951 1.077749 0.426951 1.077749
0.417518 1.084052 0.417518 1.084052
0.408031 1.090272 0.408031 1.090272
0.398489 1.096409 0.398489 1.096409
0.388895 1.102463 0.388895 1.102463
0.379248 1.108432 0.379248 1.108432
0.369549 1.114317 0.369549 1.114317
0.359800 1.120118 0.359800 1.120118
0.350000 1.125833 0.350000 1.125833
0.340151 1.131462 0.340151 1.131462
0.330253 1.137006 0.330253 1.137006
0.320306 1.142462 0.320306 1.142462
0.310313 1.147832 0.310313 1.147832
0.300273 1.153114 0.300273 1.153114
0.290188 1.158308 0.290188 1.158308
0.280057 1.163415 0.280057 1.163415
0.269882 1.168432 0.269882 1.168432
0.259664 1.173361 0.259664 1.173361
0.249404 1.178200 0.249404 1.178200
0.239101 1.182950 0.239101 1.182950
0.228758 1.187609 0.228758 1.187609
0.218374 1.192178 0.218374 1.192178
0.207950 1.196656 0.207950 1.196656
0.197488 1.201043 0.197488 1.201043
0.186989 1.205339 0.186989 1.205339
0.176452 1.209543 0.176452 1.209543
0.165878 1.213655 0.165878 1.213655
0.155270 1.217674 0.155270 1.217674
0.144626 1.221600 0.144626 1.221600
0.133949 1.225434 0.133949 1.225434
0.123239 1.229174 0.123239 1.229174
0.112496 1.232821 0.112496 1.232821
0.101722 1.236373 0.101722 1.236373
0.090918 1.239832 0.090918 1.239832
0.080083 1.243196 0.080083 1.243196
0.069220 1.246466 0.069220 1.246466
0.058329 1.249640 0.058329 1.249640
0.047410 1.252720 0.047410 1.252720
0.036465 1.255704 0.036465 1.255704
0.025494 1.258592 0.025494 1.258592
0.014498 1.261384 0.014498 1.261384
0.003479 1.264081 0.003479 1.264081
-0.007564 1.266681 -0.007564 1.266681
-0.018629 1.269185 -0.018629 1.269185
-0.029715 1.271592 -0.029715 1.271592
-0.040822 1.273902 -0.040822 1.273902
-0.051948 1.276115 -0.051948 1.276115
-0.063094 1.278231 -0.063094 1.278231
-0.074257 1.280250 -0.074257 1.280250
-0.085438 1.282171 -0.085438 1.282171
-0.096635 1.283995 -0.096635 1.283995
-0.107848 1.285721 -0.107848 1.285721
-0.119075 1.287348 -0.119075 1.287348
-0.130316 1.288878 -0.130316 1.288878
-0.141570 1.290310 -0.141570 1.290310
-0.152836 1.291643 -0.152836 1.291643
-0.164113 1.292878 -0.164113 1.292878
-0.175401 1.294015 -0.175401 1.294015
-0.186698 1.295053 -0.186698 1.295053
-0.198003 1.295993 -0.198003 1.295993
-0.209317 1.296833 -0.209317 1.296833
-0.220637 1.297575 -0.220637 1.297575
-0.231963 1.298218 -0.231963 1.298218
-0.243295 1.298763 -0.243295 1.298763
-0.254631 1.299208 -0.254631 1.299208
-0.265970 1.299555 -0.265970 1.299555
-0.277312 1.299802 -0.277312 1.299802
-0.288656 1.299950 -0.288656 1.299950
-0.300000 1.300000 -0.300000 1.300000
-0.311344 1.299950 -0.311344 1.299950
-0.322688 1.299802 -0.322688 1.299802
-0.334030 1.299555 -0.334030 1.299555
-0.345369 1.299208 -0.345369 1.299208
-0.356705 1.298763 -0.356705 1.298763
-0.368037 1.298218 -0.368037 1.298218
-0.379363 1.297575 -0.379363 1.297575
-0.390683 1.296833 -0.390683 1.296833
-0.401997 1.295993 -0.401997 1.295993
