# circle in zeta-plane case 2
# xi0 = 0, eta0 = 0.2, r = 1.0198
# xi   eta   xi/a   eta/a
1.019804 0.200000 1.019804 0.200000
1.019765 0.208899 1.019765 0.208899
1.019649 0.217798 1.019649 0.217798
1.019454 0.226695 1.019454 0.226695
1.019183 0.235591 1.019183 0.235591
1.018833 0.244483 1.018833 0.244483
1.018406 0.253372 1.018406 0.253372
1.017902 0.262258 1.017902 0.262258
1.017320 0.271138 1.017320 0.271138
1.016660 0.280013 1.016660 0.280013
1.015923 0.288882 1.015923 0.288882
1.015109 0.297744 1.015109 0.297744
1.014217 0.306599 1.014217 0.306599
1.013248 0.315445 1.013248 0.315445
1.012202 0.324283 1.012202 0.324283
1.011079 0.333111 1.011079 0.333111
1.009879 0.341929 1.009879 0.341929
1.008602 0.350737 1.008602 0.350737
1.007248 0.359532 1.007248 0.359532
1.005818 0.368316 1.005818 0.368316
1.004311 0.377087 1.004311 0.377087
1.002727 0.385845 1.002727 0.385845
1.001067 0.394588 1.001067 0.394588
0.999331 0.403316 0.999331 0.403316
0.997519 0.412029 0.997519 0.412029
0.995630 0.420726 0.995630 0.420726
0.993666 0.429406 0.993666 0.429406
0.991627 0.438068 0.991627 0.438068
0.989511 0.446713 0.989511 0.446713
0.987321 0.455339 0.987321 0.455339
0.985055 0.463945 0.985055 0.463945
0.982714 0.472531 0.982714 0.472531
0.980298 0.481096 0.980298 0.481096
0.977808 0.489640 0.977808 0.489640
0.975243 0.498162 0.975243 0.498162
0.972604 0.506661 0.972604 0.506661
0.969891 0.515137 0.969891 0.515137
0.967104 0.523589 0.967104 0.523589
0.964244 0.532016 0.964244 0.532016
0.961309 0.540418 0.961309 0.540418
0.958302 0.548793 0.958302 0.548793
0.955222 0.557143 0.955222 0.557143
0.952069 0.565465 0.952069 0.565465
0.948843 0.573759 0.948843 0.573759
0.945546 0.582025 0.945546 0.582025
0.942176 0.590262 0.942176 0.590262
0.938734 0.598469 0.938734 0.598469
0.935221 0.606646 0.935221 0.606646
0.931637 0.614792 0.931637 0.614792
0.927982 0.622906 0.927982 0.622906
0.924256 0.630988 0.924256 0.630988
0.920460 0.639037 0.920460 0.639037
0.916594 0.647053 0.916594 0.647053
0.912658 0.655034 0.912658 0.655034
0.908652 0.662981 0.908652 0.662981
0.904577 0.670893 0.904577 0.670893
0.900433 0.678769 0.900433 0.678769
0.896221 0.686608 0.896221 0.686608
0.891941 0.694411 0.891941 0.694411
