# circle in zeta-plane case 3
# xi0 = 0, eta0 = 0.3, r = 1.04403
# xi   eta   xi/a   eta/a
0.208146 1.323071 0.208146 1.323071
0.199210 1.324849 0.199210 1.324849
0.190259 1.326548 0.190259 1.326548
0.181294 1.328169 0.181294 1.328169
0.172315 1.329712 0.172315 1.329712
0.163322 1.331177 0.163322 1.331177
0.154318 1.332563 0.154318 1.332563
0.145301 1.333870 0.145301 1.333870
0.136273 1.335099 0.136273 1.335099
0.127235 1.336249 0.127235 1.336249
0.118188 1.337319 0.118188 1.337319
0.109131 1.338311 0.109131 1.338311
0.100066 1.339224 0.100066 1.339224
0.090993 1.340058 0.090993 1.340058
0.081914 1.340812 0.081914 1.340812
0.072828 1.341487 0.072828 1.341487
0.063737 1.342083 0.063737 1.342083
0.054640 1.342600 0.054640 1.342600
0.045540 1.343037 0.045540 1.343037
0.036436 1.343395 0.036436 1.343395
0.027330 1.343673 0.027330 1.343673
0.018221 1.343872 0.018221 1.343872
0.009111 1.343991 0.009111 1.343991
0.000000 1.344031 0.000000 1.344031
-0.009111 1.343991 -0.009111 1.343991
-0.018221 1.343872 -0.018221 1.343872
-0.027330 1.343673 -0.027330 1.343673
-0.036436 1.343395 -0.036436 1.343395
-0.045540 1.343037 -0.045540 1.343037
-0.054640 1.342600 -0.054640 1.342600
-0.063737 1.342083 -0.063737 1.342083
-0.072828 1.341487 -0.072828 1.341487
-0.081914 1.340812 -0.081914 1.340812
-0.090993 1.340058 -0.090993 1.340058
-0.100066 1.339224 -0.100066 1.339224
-0.109131 1.338311 -0.109131 1.338311
-0.118188 1.337319 -0.118188 1.337319
-0.127235 1.336249 -0.127235 1.336249
-0.136273 1.335099 -0.136273 1.335099
-0.145301 1.333870 -0.145301 1.333870
-0.154318 1.332563 -0.154318 1.332563
-0.163322 1.331177 -0.163322 1.331177
-0.172315 1.329712 -0.172315 1.329712
-0.181294 1.328169 -0.181294 1.328169
-0.190259 1.326548 -0.190259 1.326548
-0.199210 1.324849 -0.199210 1.324849
-0.208146 1.323071 -0.208146 1.323071
-0.217066 1.321216 -0.217066 1.321216
-0.225970 1.319283 -0.225970 1.319283
-0.234856 1.317272 -0.234856 1.317272
-0.243724 1.315184 -0.243724 1.315184
-0.252574 1.313018 -0.252574 1.313018
-0.261404 1.310776 -0.261404 1.310776
-0.270215 1.308456 -0.270215 1.308456
-0.279005 1.306060 -0.279005 1.306060
-0.287774 1.303587 -0.287774 1.303587
-0.296521 1.301037 -0.296521 1.301037
-0.305245 1.298411 -0.305245 1.298411
