# Joukowski airfoil case 4
# a = 1, xi0 = -0.1, eta0 = 0, r = 1.1
# x   y   x/a   y/a
0.220742 0.161429 0.220742 0.161429
0.203173 0.163177 0.203173 0.163177
0.185601 0.164916 0.185601 0.164916
0.168025 0.166644 0.168025 0.166644
0.150449 0.168361 0.150449 0.168361
0.132873 0.170068 0.132873 0.170068
0.115299 0.171762 0.115299 0.171762
0.097727 0.173445 0.097727 0.173445
0.080160 0.175116 0.080160 0.175116
0.062599 0.176773 0.062599 0.176773
0.045044 0.178417 0.045044 0.178417
0.027497 0.180047 0.027497 0.180047
0.009960 0.181663 0.009960 0.181663
-0.007567 0.183264 -0.007567 0.183264
-0.025082 0.184849 -0.025082 0.184849
-0.042583 0.186419 -0.042583 0.186419
-0.060070 0.187973 -0.060070 0.187973
-0.077541 0.189510 -0.077541 0.189510
-0.094995 0.191030 -0.094995 0.191030
-0.112431 0.192533 -0.112431 0.192533
-0.129847 0.194018 -0.129847 0.194018
-0.147243 0.195484 -0.147243 0.195484
-0.164617 0.196932 -0.164617 0.196932
-0.181967 0.198361 -0.181967 0.198361
-0.199293 0.199770 -0.199293 0.199770
-0.216594 0.201159 -0.216594 0.201159
-0.233868 0.202527 -0.233868 0.202527
-0.251114 0.203875 -0.251114 0.203875
-0.268331 0.205202 -0.268331 0.205202
-0.285517 0.206507 -0.285517 0.206507
-0.302672 0.207790 -0.302672 0.207790
-0.319795 0.209051 -0.319795 0.209051
-0.336884 0.210289 -0.336884 0.210289
-0.353937 0.211504 -0.353937 0.211504
-0.370955 0.212696 -0.370955 0.212696
-0.387935 0.213864 -0.387935 0.213864
-0.404878 0.215007 -0.404878 0.215007
-0.421780 0.216126 -0.421780 0.216126
-0.438642 0.217221 -0.438642 0.217221
-0.455463 0.218290 -0.455463 0.218290
-0.472240 0.219333 -0.472240 0.219333
-0.488974 0.220351 -0.488974 0.220351
-0.505663 0.221342 -0.505663 0.221342
-0.522306 0.222308 -0.522306 0.222308
-0.538901 0.223246 -0.538901 0.223246
-0.555449 0.224157 -0.555449 0.224157
-0.571947 0.225041 -0.571947 0.225041
-0.588395 0.225897 -0.588395 0.225897
-0.604792 0.226725 -0.604792 0.226725
-0.621136 0.227525 -0.621136 0.227525
-0.637427 0.228296 -0.637427 0.228296
-0.653663 0.229039 -0.653663 0.229039
-0.669844 0.229753 -0.669844 0.229753
-0.685969 0.230437 -0.685969 0.230437
-0.702036 0.231092 -0.702036 0.231092
-0.718044 0.231717 -0.718044 0.231717
-0.733994 0.232312 -0.733994 0.232312
-0.749882 0.232876 -0.749882 0.232876
-0.765710 0.233411 -0.765710 0.233411
-0.781475 0.233914 -0.781475 0.233914
-0.797176 0.234387 -0.797176 0.234387
-0.812814 0.234829 -0.812814 0.234829
-0.828386 0.235239 -0.828386 0.235239
-0.843892 0.235618 -0.843892 0.235618
-0.859331 0.235965 -0.859331 0.235965
-0.874701 0.236281 -0.874701 0.236281
