# type = 2
# x0 = 0.1, y0 = 0, z0 = 0
# projection: horizontal = z, vertical = x
# z   x
2.782375 1.457128
2.781089 1.458232
2.779790 1.459335
2.778479 1.460436
2.777157 1.461536
2.775822 1.462635
2.774475 1.463732
2.773116 1.464828
2.771745 1.465923
2.770362 1.467017
2.768968 1.468109
2.767561 1.469200
2.766142 1.470290
2.764712 1.471378
2.763269 1.472466
2.761814 1.473552
2.760348 1.474636
2.758870 1.475719
2.757380 1.476801
2.755878 1.477882
2.754364 1.478962
2.752839 1.480040
2.751301 1.481117
2.749752 1.482192
2.748192 1.483267
2.746619 1.484340
2.745035 1.485411
2.743439 1.486482
2.741831 1.487551
2.740212 1.488619
2.738581 1.489685
2.736938 1.490750
2.735284 1.491814
2.733618 1.492877
2.731940 1.493938
2.730251 1.494998
2.728550 1.496057
2.726838 1.497115
2.725114 1.498171
2.723379 1.499226
2.721632 1.500279
2.719874 1.501332
2.718104 1.502382
2.716323 1.503432
2.714531 1.504480
2.712727 1.505527
2.710911 1.506573
2.709085 1.507618
2.707246 1.508661
2.705397 1.509702
2.703536 1.510743
2.701664 1.511782
2.699780 1.512820
2.697886 1.513857
2.695980 1.514892
2.694062 1.515926
2.692134 1.516958
2.690194 1.517990
2.688243 1.519020
2.686281 1.520048
2.684308 1.521076
2.682323 1.522102
2.680328 1.523126
2.678321 1.524150
2.676303 1.525172
2.674274 1.526193
2.672234 1.527212
2.670183 1.528230
2.668121 1.529247
2.666048 1.530262
2.663964 1.531276
2.661869 1.532289
2.659763 1.533301
2.657646 1.534311
2.655518 1.535319
2.653379 1.536327
2.651230 1.537333
2.649069 1.538338
2.646898 1.539341
2.644715 1.540343
2.642522 1.541344
2.640318 1.542344
2.638104 1.543342
2.635878 1.544339
2.633642 1.545334
2.631395 1.546328
2.629137 1.547321
2.626869 1.548312
2.624589 1.549302
2.622300 1.550291
2.619999 1.551278
2.617688 1.552264
2.615366 1.553249
2.613034 1.554232
2.610691 1.555214
2.608338 1.556195
2.605974 1.557174
2.603599 1.558152
2.601214 1.559129
2.598818 1.560104
2.596412 1.561078
2.593996 1.562050
2.591569 1.563021
2.589131 1.563991
2.586684 1.564959
2.584225 1.565926
2.581757 1.566892
2.579278 1.567856
2.576789 1.568819
2.574289 1.569781
2.571779 1.570741
2.569259 1.571700
2.566729 1.572657
2.564188 1.573614
2.561637 1.574568
2.559076 1.575522
2.556505 1.576474
2.553924 1.577424
2.551332 1.578373
2.548730 1.579321
2.546118 1.580268
2.543496 1.581213
2.540864 1.582156
2.538222 1.583099
2.535570 1.584040
2.532908 1.584979
