# t  theta1(rad)  omega1(rad/s)  theta2(rad)  omega2(rad/s)  theta3(rad)  omega3(rad/s)  theta4(rad)  omega4(rad/s)  theta5(rad)  omega5(rad/s)  theta6(rad)  omega6(rad/s)
20.210000 0.441858 0.719376 -0.957419 -0.832577 -0.715491 3.663433 -1.768686 2.075452 1.849916 -3.211375 2.865328 0.740016
20.220000 0.448841 0.677114 -0.965342 -0.752133 -0.678540 3.726407 -1.747450 2.171833 1.817330 -3.306100 2.872595 0.713603
20.230000 0.455398 0.634254 -0.972460 -0.671269 -0.640973 3.786535 -1.725248 2.268589 1.783792 -3.401616 2.879602 0.687865
20.240000 0.461524 0.590835 -0.978767 -0.590034 -0.602819 3.843686 -1.702077 2.365686 1.749295 -3.497836 2.886355 0.662779
20.250000 0.467213 0.546897 -0.984259 -0.508476 -0.564109 3.897732 -1.677933 2.463087 1.713833 -3.594665 2.892860 0.638322
20.260000 0.472460 0.502480 -0.988935 -0.426642 -0.524875 3.948546 -1.652814 2.560745 1.677400 -3.691995 2.899123 0.614472
20.270000 0.477261 0.457624 -0.992791 -0.344578 -0.485150 3.996009 -1.626718 2.658608 1.639992 -3.789710 2.905151 0.591207
20.280000 0.481611 0.412369 -0.995826 -0.262329 -0.444967 4.040005 -1.599642 2.756617 1.601605 -3.887681 2.910949 0.568506
20.290000 0.485507 0.366756 -0.998038 -0.179940 -0.404362 4.080424 -1.571585 2.854703 1.562238 -3.985769 2.916523 0.546348
20.300000 0.488945 0.320824 -0.999425 -0.097455 -0.363371 4.117163 -1.542547 2.952790 1.521890 -4.083822 2.921878 0.524712
20.310000 0.491923 0.274615 -0.999987 -0.014919 -0.322031 4.150128 -1.512529 3.050795 1.480562 -4.181678 2.927019 0.503579
20.320000 0.494437 0.228168 -0.999723 0.067625 -0.280381 4.179232 -1.481532 3.148625 1.438258 -4.279164 2.931951 0.482929
20.330000 0.496486 0.181525 -0.998634 0.150134 -0.238459 4.204396 -1.449558 3.246179 1.394981 -4.376094 2.936679 0.462742
20.340000 0.498067 0.134724 -0.996721 0.232562 -0.196306 4.225554 -1.416610 3.343347 1.350738 -4.472272 2.941208 0.442999
20.350000 0.499180 0.087808 -0.993983 0.314867 -0.153962 4.242647 -1.382693 3.440010 1.305538 -4.567492 2.945541 0.423683
20.360000 0.499823 0.040816 -0.990424 0.397003 -0.111467 4.255628 -1.347812 3.536042 1.259392 -4.661536 2.949683 0.404774
20.370000 0.499996 -0.006211 -0.986044 0.478926 -0.068863 4.264462 -1.311974 3.631306 1.212312 -4.754178 2.953637 0.386255
20.380000 0.499699 -0.053233 -0.980846 0.560589 -0.026192 4.269122 -1.275189 3.725657 1.164314 -4.845184 2.957409 0.368108
20.390000 0.498931 -0.100209 -0.974833 0.641946 0.016505 4.269598 -1.237465 3.818943 1.115415 -4.934309 2.961001 0.350316
20.400000 0.497695 -0.147099 -0.968008 0.722950 0.059186 4.265886 -1.198814 3.911003 1.065635 -5.021305 2.964416 0.332863
20.410000 0.495990 -0.193862 -0.960376 0.803551 0.101809 4.257997 -1.159249 4.001667 1.014997 -5.105917 2.967659 0.315730
20.420000 0.493818 -0.240458 -0.951939 0.883700 0.144332 4.245955 -1.118786 4.090761 0.963525 -5.187886 2.970732 0.298903
20.430000 0.491181 -0.286846 -0.942703 0.963347 0.186715 4.229791 -1.077440 4.178101 0.911249 -5.266951 2.973638 0.282365
20.440000 0.488082 -0.332985 -0.932674 1.042438 0.228915 4.209550 -1.035230 4.263500 0.858197 -5.342850 2.976380 0.266100
20.450000 0.484523 -0.378837 -0.921856 1.120920 0.270892 4.185289 -0.992177 4.346764 0.804403 -5.415322 2.978961 0.250092
20.460000 0.480506 -0.424359 -0.910258 1.198737 0.312607 4.157073 -0.948303 4.427696 0.749903 -5.484111 2.981383 0.234327
20.470000 0.476037 -0.469513 -0.897884 1.275832 0.354021 4.124976 -0.903632 4.506095 0.694734 -5.548963 2.983648 0.218789
20.480000 0.471117 -0.514256 -0.884744 1.352147 0.395094 4.089085 -0.858190 4.581759 0.638938 -5.609634 2.985759 0.203462
20.490000 0.465753 -0.558551 -0.870844 1.427622 0.435790 4.049492 -0.812006 4.654484 0.582556 -5.665889 2.987718 0.188333
20.500000 0.459948 -0.602356 -0.856194 1.502194 0.476072 4.006299 -0.765111 4.724068 0.525635 -5.717503 2.989527 0.173386
20.510000 0.453708 -0.645631 -0.840803 1.575801 0.515904 3.959613 -0.717536 4.790309 0.468222 -5.764267 2.991187 0.158608
20.520000 0.447037 -0.688337 -0.824682 1.648376 0.555253 3.909548 -0.669316 4.853010 0.410367 -5.805986 2.992699 0.143983
20.530000 0.439943 -0.730434 -0.807839 1.719854 0.594084 3.856225 -0.620488 4.911978 0.352120 -5.842485 2.994067 0.129498
20.540000 0.432431 -0.771883 -0.790288 1.790166 0.632367 3.799767 -0.571090 4.967026 0.293535 -5.873605 2.995290 0.115138
20.550000 0.424508 -0.812645 -0.772040 1.859242 0.670070 3.740303 -0.521161 5.017976 0.234666 -5.899211 2.996370 0.100891
20.560000 0.416180 -0.852680 -0.753108 1.927011 0.707163 3.677963 -0.470745 5.064657 0.175569 -5.919191 2.997308 0.086741
20.570000 0.407457 -0.891950 -0.733505 1.993401 0.743620 3.612880 -0.419883 5.106911 0.116301 -5.933456 2.998105 0.072676
20.580000 0.398344 -0.930416 -0.713245 2.058338 0.779412 3.545189 -0.368622 5.144592 0.056920 -5.941941 2.998762 0.058681
20.590000 0.388851 -0.968041 -0.692343 2.121748 0.814515 3.475024 -0.317007 5.177566 -0.002518 -5.944609 2.999279 0.044743
20.600000 0.378986 -1.004788 -0.670815 2.183555 0.848905 3.402519 -0.265086 5.205715 -0.061953 -5.941447 2.999657 0.030848
20.610000 0.368758 -1.040619 -0.648677 2.243685 0.882558 3.327809 -0.212909 5.228938 -0.121328 -5.932471 2.999896 0.016984
20.620000 0.358177 -1.075498 -0.625947 2.302061 0.915454 3.251025 -0.160524 5.247148 -0.180583 -5.917719 2.999996 0.003136
20.630000 0.347252 -1.109389 -0.602642 2.358606 0.947572 3.172297 -0.107983 5.260278 -0.239663 -5.897259 2.999958 -0.010709
20.640000 0.335993 -1.142256 -0.578781 2.413246 0.978894 3.091752 -0.055336 5.268280 -0.298510 -5.871180 2.999782 -0.024564
20.650000 0.324410 -1.174066 -0.554384 2.465904 1.009402 3.009515 -0.002635 5.271123 -0.357068 -5.839599 2.999467 -0.038444
20.660000 0.312515 -1.204784 -0.529470 2.516505 1.039079 2.925705 0.050069 5.268796 -0.415284 -5.802652 2.999013 -0.052360
20.670000 0.300318 -1.234377 -0.504061 2.564975 1.067911 2.840441 0.102724 5.261309 -0.473104 -5.760499 2.998420 -0.066327
20.680000 0.287831 -1.262814 -0.478178 2.611242 1.095884 2.753833 0.155278 5.248690 -0.530477 -5.713316 2.997686 -0.080359
20.690000 0.275066 -1.290063 -0.451844 2.655236 1.122984 2.665989 0.207681 5.230985 -0.587354 -5.661300 2.996812 -0.094469
20.700000 0.262034 -1.316094 -0.425081 2.696886 1.149200 2.577012 0.259881 5.208260 -0.643688 -5.604662 2.995797 -0.108671
20.710000 0.248748 -1.340878 -0.397914 2.736126 1.174520 2.487000 0.311830 5.180599 -0.699433 -5.543628 2.994639 -0.122978
20.720000 0.235221 -1.364387 -0.370367 2.772891 1.198936 2.396047 0.363477 5.148102 -0.754546 -5.478433 2.993337 -0.137404
20.730000 0.221465 -1.386595 -0.342465 2.807122 1.222439 2.304238 0.414776 5.110886 -0.808988 -5.409322 2.991890 -0.151964
20.740000 0.207493 -1.407476 -0.314233 2.838758 1.245019 2.211658 0.465680 5.069082 -0.862721 -5.336550 2.990297 -0.166671
20.750000 0.193320 -1.427006 -0.285698 2.867747 1.266669 2.118383 0.516143 5.022837 -0.915708 -5.260372 2.988556 -0.181540
20.760000 0.178958 -1.445162 -0.256887 2.894037 1.287384 2.024485 0.566122 4.972306 -0.967917 -5.181051 2.986666 -0.196584
20.770000 0.164421 -1.461924 -0.227827 2.917581 1.307157 1.930032 0.615575 4.917660 -1.019319 -5.098848 2.984624 -0.211820
20.780000 0.149724 -1.477270 -0.198545 2.938337 1.325983 1.835084 0.664462 4.859076 -1.069886 -5.014024 2.982429 -0.227260
20.790000 0.134880 -1.491184 -0.169069 2.956268 1.343857 1.739700 0.712744 4.796739 -1.119592 -4.926838 2.980078 -0.242921
20.800000 0.119905 -1.503648 -0.139429 2.971341 1.360776 1.643931 0.760385 4.730843 -1.168415 -4.837544 2.977569 -0.258817
20.810000 0.104812 -1.514648 -0.109652 2.983527 1.376735 1.547826 0.807350 4.661585 -1.216337 -4.746390 2.974901 -0.274963
20.820000 0.089617 -1.524171 -0.079768 2.992805 1.391731 1.451428 0.853606 4.589164 -1.263338 -4.653620 2.972069 -0.291376
20.830000 0.074334 -1.532204 -0.049806 2.999156 1.405763 1.354776 0.899123 4.513785 -1.309404 -4.559468 2.969072 -0.308070
20.840000 0.058978 -1.538739 -0.019795 3.002570 1.418826 1.257905 0.943873 4.435650 -1.354523 -4.464158 2.965907 -0.325062
20.850000 0.043564 -1.543767 0.010236 3.003039 1.430920 1.160847 0.987828 4.354963 -1.398684 -4.367909 2.962570 -0.342368
20.860000 0.028108 -1.547282 0.040256 3.000562 1.442043 1.063630 1.030964 4.271923 -1.441879 -4.270924 2.959058 -0.360005
20.870000 0.012624 -1.549279 0.070237 2.995145 1.452192 0.966279 1.073259 4.186729 -1.484101 -4.173400 2.955369 -0.377988
20.880000 -0.002873 -1.549758 0.100149 2.986797 1.461368 0.868815 1.114692 4.099574 -1.525346 -4.075520 2.951497 -0.396337
20.890000 -0.018366 -1.548716 0.129963 2.975535 1.469568 0.771258 1.155245 4.010647 -1.565611 -3.977458 2.947441 -0.415067
20.900000 -0.033842 -1.546155 0.159650 2.961378 1.476793 0.673625 1.194900 3.920131 -1.604895 -3.879375 2.943195 -0.434196
20.910000 -0.049285 -1.542079 0.189181 2.944354 1.483041 0.575929 1.233643 3.828204 -1.643199 -3.781420 2.938755 -0.453744
20.920000 -0.064679 -1.536491 0.218528 2.924493 1.488311 0.478184 1.271460 3.735033 -1.680524 -3.683733 2.934118 -0.473727
20.930000 -0.080009 -1.529400 0.247662 2.901832 1.492604 0.380399 1.308340 3.640781 -1.716875 -3.586441 2.929279 -0.494165
20.940000 -0.095262 -1.520814 0.276555 2.876411 1.495919 0.282586 1.344272 3.545601 -1.752255 -3.489660 2.924233 -0.515077
20.950000 -0.110421 -1.510742 0.305181 2.848277 1.498256 0.184752 1.379249 3.449640 -1.786670 -3.393496 2.918976 -0.536482
20.960000 -0.125472 -1.499197 0.333512 2.817477 1.499614 0.086904 1.413263 3.353034 -1.820127 -3.298044 2.913502 -0.558401
20.970000 -0.140400 -1.486194 0.361522 2.784066 1.499994 -0.010949 1.446308 3.255911 -1.852634 -3.203390 2.907806 -0.580854
20.980000 -0.155191 -1.471747 0.389185 2.748101 1.499395 -0.108802 1.478380 3.158391 -1.884198 -3.109608 2.901883 -0.603860
20.990000 -0.169830 -1.455873 0.416476 2.709642 1.497818 -0.206647 1.509475 3.060584 -1.914829 -3.016767 2.895727 -0.627443
21.000000 -0.184303 -1.438593 0.443370 2.668752 1.495262 -0.304477 1.539591 2.962592 -1.944537 -2.924923 2.889332 -0.651622
21.010000 -0.198597 -1.419924 0.469843 2.625497 1.491728 -0.402285 1.568726 2.864509 -1.973331 -2.834126 2.882693 -0.676420
21.020000 -0.212697 -1.399891 0.495872 2.579946 1.487217 -0.500061 1.596881 2.766419 -2.001223 -2.744418 2.875802 -0.701860
21.030000 -0.226591 -1.378515 0.521434 2.532169 1.481727 -0.597796 1.624055 2.668400 -2.028223 -2.655832 2.868653 -0.727964
21.040000 -0.240263 -1.355822 0.546508 2.482239 1.475261 -0.695479 1.650250 2.570519 -2.054343 -2.568397 2.861240 -0.754756
21.050000 -0.253703 -1.331837 0.571072 2.430228 1.467818 -0.793097 1.675466 2.472838 -2.079595 -2.482132 2.853556 -0.782260
21.060000 -0.266896 -1.306587 0.595106 2.376211 1.459399 -0.890635 1.699707 2.375409 -2.103990 -2.397053 2.845593 -0.810499
21.070000 -0.279830 -1.280101 0.618590 2.320264 1.450006 -0.988075 1.722975 2.278280 -2.127540 -2.313169 2.837343 -0.839499
21.080000 -0.292494 -1.252408 0.641505 2.262462 1.439638 -1.085398 1.745274 2.181489 -2.150257 -2.230484 2.828800 -0.869285
21.090000 -0.304874 -1.223539 0.663833 2.202883 1.428298 -1.182582 1.766606 2.085069 -2.172154 -2.148996 2.819955 -0.899882
21.100000 -0.316961 -1.193524 0.685557 2.141601 1.415987 -1.279600 1.786977 1.989046 -2.193241 -2.068701 2.810800 -0.931316
21.110000 -0.328741 -1.162398 0.706660 2.078693 1.402707 -1.376425 1.806389 1.893441 -2.213531 -1.989589 2.801326 -0.963615
21.120000 -0.340205 -1.130192 0.727126 2.014234 1.388459 -1.473024 1.824847 1.798270 -2.233037 -1.911646 2.791524 -0.996805
21.130000 -0.351342 -1.096941 0.746939 1.948299 1.373247 -1.569360 1.842356 1.703541 -2.251768 -1.834856 2.781386 -1.030913
21.140000 -0.362141 -1.062680 0.766087 1.880961 1.357073 -1.665394 1.858919 1.609261 -2.269738 -1.759199 2.770903 -1.065968
21.150000 -0.372592 -1.027444 0.784554 1.812293 1.339940 -1.761080 1.874542 1.515428 -2.286956 -1.684652 2.760064 -1.101998
21.160000 -0.382686 -0.991269 0.802329 1.742367 1.321853 -1.856372 1.889229 1.422040 -2.303434 -1.611190 2.748860 -1.139031
21.170000 -0.392414 -0.954193 0.819398 1.671253 1.302814 -1.951214 1.902984 1.329089 -2.319183 -1.538785 2.737280 -1.177096
21.180000 -0.401767 -0.916251 0.835750 1.599020 1.282830 -2.045548 1.915812 1.236562 -2.334213 -1.467407 2.725314 -1.216223
21.190000 -0.410737 -0.877482 0.851375 1.525734 1.261905 -2.139313 1.927717 1.144445 -2.348535 -1.397024 2.712952 -1.256442
21.200000 -0.419314 -0.837924 0.866261 1.451462 1.240046 -2.232439 1.938703 1.052720 -2.362157 -1.327602 2.700182 -1.297781
21.210000 -0.427493 -0.797615 0.880401 1.376268 1.217259 -2.324853 1.948773 0.961367 -2.375090 -1.259107 2.686992 -1.340271
21.220000 -0.435264 -0.756594 0.893784 1.300214 1.193552 -2.416478 1.957931 0.870361 -2.387342 -1.191502 2.673372 -1.383943
21.230000 -0.442622 -0.714901 0.906402 1.223360 1.168932 -2.507228 1.966181 0.779678 -2.398923 -1.124748 2.659309 -1.428826
21.240000 -0.449560 -0.672573 0.918249 1.145767 1.143410 -2.597017 1.973526 0.689289 -2.409840 -1.058807 2.644791 -1.474951
21.250000 -0.456072 -0.629651 0.929315 1.067491 1.116996 -2.685749 1.979968 0.599165 -2.420101 -0.993638 2.629806 -1.522348
21.260000 -0.462151 -0.586175 0.939596 0.988588 1.089699 -2.773325 1.985510 0.509274 -2.429715 -0.929202 2.614340 -1.571048
21.270000 -0.467794 -0.542184 0.949085 0.909112 1.061533 -2.859642 1.990154 0.419585 -2.438688 -0.865456 2.598381 -1.621078
21.280000 -0.472993 -0.497718 0.957777 0.829117 1.032511 -2.944591 1.993902 0.330064 -2.447026 -0.802357 2.581914 -1.672471
21.290000 -0.477746 -0.452818 0.965666 0.748654 1.002646 -3.028059 1.996756 0.240675 -2.454737 -0.739863 2.564927 -1.725253
21.300000 -0.482048 -0.407523 0.972748 0.667773 0.971955 -3.109928 1.998716 0.151384 -2.461825 -0.677930 2.547404 -1.779455
21.310000 -0.485896 -0.361874 0.979020 0.586524 0.940454 -3.190077 1.999783 0.062154 -2.468297 -0.616514 2.529333 -1.835102
21.320000 -0.489285 -0.315911 0.984478 0.504953 0.908160 -3.268381 1.999959 -0.027050 -2.474157 -0.555572 2.510697 -1.892223
21.330000 -0.492213 -0.269674 0.989118 0.423108 0.875092 -3.344712 1.999242 -0.116266 -2.479410 -0.495057 2.491483 -1.950843
21.340000 -0.494678 -0.223205 0.992939 0.341035 0.841272 -3.418941 1.997633 -0.205528 -2.484060 -0.434925 2.471675 -2.010986
21.350000 -0.496676 -0.176542 0.995938 0.258779 0.806721 -3.490934 1.995132 -0.294875 -2.488110 -0.375131 2.451258 -2.072675
21.360000 -0.498208 -0.129728 0.998114 0.176385 0.771462 -3.560557 1.991736 -0.384340 -2.491563 -0.315629 2.430217 -2.135932
21.370000 -0.499271 -0.082801 0.999466 0.093897 0.735518 -3.627676 1.987444 -0.473959 -2.494423 -0.256373 2.408534 -2.200775
21.380000 -0.499864 -0.035803 0.999992 0.011360 0.698917 -3.692157 1.982256 -0.563766 -2.496691 -0.197319 2.386196 -2.267223
21.390000 -0.499987 0.011225 0.999693 -0.071184 0.661684 -3.753864 1.976168 -0.653794 -2.498370 -0.138419 2.363185 -2.335290
21.400000 -0.499639 0.058244 0.998569 -0.153690 0.623849 -3.812667 1.969179 -0.744076 -2.499460 -0.079627 2.339485 -2.404988
21.410000 -0.498822 0.105213 0.996620 -0.236114 0.585441 -3.868434 1.961286 -0.834640 -2.499963 -0.020898 2.315079 -2.476326
21.420000 -0.497535 0.152091 0.993847 -0.318412 0.546491 -3.921039 1.952485 -0.925515 -2.499878 0.037814 2.289953 -2.549309
21.430000 -0.495781 0.198838 0.990252 -0.400540 0.507031 -3.970358 1.942774 -1.016729 -2.499206 0.096557 2.264088 -2.623939
21.440000 -0.493559 0.245413 0.985837 -0.482453 0.467095 -4.016272 1.932149 -1.108305 -2.497947 0.155375 2.237468 -2.700214
21.450000 -0.490873 0.291777 0.980604 -0.564104 0.426718 -4.058669 1.920607 -1.200265 -2.496098 0.214315 2.210078 -2.778126
21.460000 -0.487724 0.337888 0.974556 -0.645447 0.385934 -4.097442 1.908143 -1.292629 -2.493660 0.273423 2.181900 -2.857664
21.470000 -0.484116 0.383706 0.967696 -0.726434 0.344781 -4.132492 1.894753 -1.385411 -2.490629 0.332744 2.152919 -2.938810
21.480000 -0.480051 0.429191 0.960028 -0.807017 0.303297 -4.163727 1.880433 -1.478627 -2.487004 0.392326 2.123119 -3.021541
21.490000 -0.475534 0.474303 0.951557 -0.887146 0.261520 -4.191064 1.865179 -1.572284 -2.482782 0.452213 2.092483 -3.105826
21.500000 -0.470567 0.519000 0.942287 -0.966769 0.219489 -4.214431 1.848986 -1.666388 -2.477959 0.512450 2.060997 -3.191629
21.510000 -0.465155 0.563245 0.932224 -1.045835 0.177245 -4.233764 1.831850 -1.760940 -2.472531 0.573084 2.028646 -3.278905
21.520000 -0.459303 0.606995 0.921372 -1.124289 0.134827 -4.249009 1.813766 -1.855938 -2.466496 0.634158 1.995414 -3.367602
21.530000 -0.453017 0.650211 0.909740 -1.202076 0.092278 -4.260124 1.794729 -1.951374 -2.459847 0.695718 1.961289 -3.457660
21.540000 -0.446301 0.692855 0.897333 -1.279139 0.049639 -4.267080 1.774737 -2.047234 -2.452580 0.757808 1.926257 -3.549008
21.550000 -0.439162 0.734884 0.884160 -1.355419 0.006950 -4.269855 1.753783 -2.143501 -2.444689 0.820472 1.890305 -3.641567
21.560000 -0.431606 0.776262 0.870228 -1.430856 -0.035745 -4.268443 1.731865 -2.240150 -2.436168 0.883753 1.853422 -3.735246
21.570000 -0.423639 0.816948 0.855546 -1.505389 -0.078404 -4.262847 1.708979 -2.337150 -2.427011 0.947694 1.815597 -3.829947
21.580000 -0.415269 0.856903 0.840123 -1.578952 -0.120988 -4.253083 1.685121 -2.434466 -2.417212 1.012337 1.776820 -3.925558
21.590000 -0.406503 0.896089 0.823970 -1.651482 -0.163452 -4.239178 1.660289 -2.532054 -2.406762 1.077724 1.737083 -4.021955
21.600000 -0.397350 0.934468 0.807097 -1.722911 -0.205757 -4.221171 1.634480 -2.629863 -2.395655 1.143895 1.696379 -4.119005
21.610000 -0.387817 0.972001 0.789516 -1.793170 -0.247862 -4.199111 1.607691 -2.727836 -2.383881 1.210890 1.654701 -4.216559
21.620000 -0.377913 1.008652 0.771238 -1.862192 -0.289726 -4.173058 1.579923 -2.825906 -2.371434 1.278748 1.612046 -4.314459
21.630000 -0.367647 1.044383 0.752276 -1.929903 -0.331310 -4.143083 1.551173 -2.924002 -2.358304 1.347506 1.568411 -4.412533
21.640000 -0.357028 1.079158 0.732644 -1.996231 -0.372575 -4.109266 1.521443 -3.022040 -2.344481 1.417201 1.523796 -4.510595
21.650000 -0.346067 1.112942 0.712357 -2.061104 -0.413483 -4.071695 1.490733 -3.119931 -2.329956 1.487868 1.478200 -4.608448
21.660000 -0.334773 1.145698 0.691428 -2.124446 -0.453997 -4.030466 1.459045 -3.217577 -2.314720 1.559538 1.431628 -4.705882
21.670000 -0.323157 1.177393 0.669873 -2.186183 -0.494081 -3.985685 1.426382 -3.314870 -2.298762 1.632245 1.384085 -4.802675
21.680000 -0.311229 1.207992 0.647709 -2.246239 -0.533699 -3.937462 1.392749 -3.411695 -2.282072 1.706017 1.335578 -4.898592
21.690000 -0.299001 1.237464 0.624954 -2.304537 -0.572819 -3.885914 1.358150 -3.507925 -2.264638 1.780881 1.286117 -4.993389
21.700000 -0.286483 1.265776 0.601625 -2.361002 -0.611407 -3.831162 1.322593 -3.603429 -2.246450 1.856862 1.235714 -5.086809
21.710000 -0.273689 1.292896 0.577740 -2.415558 -0.649432 -3.773333 1.286085 -3.698064 -2.227497 1.933983 1.184386 -5.178587
21.720000 -0.260630 1.318796 0.553320 -2.468128 -0.686864 -3.712557 1.248635 -3.791679 -2.207767 2.012261 1.132149 -5.268450
21.730000 -0.247317 1.343445 0.528385 -2.518639 -0.723673 -3.648964 1.210255 -3.884116 -2.187248 2.091713 1.079024 -5.356118
21.740000 -0.233765 1.366817 0.502955 -2.567016 -0.759834 -3.582689 1.170957 -3.975208 -2.165929 2.172351 1.025035 -5.441304
21.750000 -0.219985 1.388885 0.477052 -2.613187 -0.795319 -3.513867 1.130756 -4.064782 -2.143797 2.254183 0.970207 -5.523719
21.760000 -0.205992 1.409623 0.450698 -2.657080 -0.830103 -3.442630 1.089667 -4.152656 -2.120841 2.337214 0.914571 -5.603072
21.770000 -0.191797 1.429007 0.423918 -2.698628 -0.864164 -3.369115 1.047709 -4.238644 -2.097049 2.421443 0.858157 -5.679072
21.780000 -0.177416 1.447016 0.396734 -2.737762 -0.897478 -3.293454 1.004901 -4.322555 -2.072408 2.506864 0.801001 -5.751429
21.790000 -0.162862 1.463627 0.369171 -2.774420 -0.930026 -3.215778 0.961266 -4.404193 -2.046907 2.593468 0.743142 -5.819860
21.800000 -0.148148 1.478822 0.341254 -2.808540 -0.961788 -3.136216 0.916826 -4.483356 -2.020535 2.681237 0.684618 -5.884088
21.810000 -0.133290 1.492582 0.313009 -2.840063 -0.992745 -3.054893 0.871607 -4.559844 -1.993279 2.770150 0.625475 -5.943845
21.820000 -0.118301 1.504891 0.284462 -2.868937 -1.022880 -2.971933 0.825638 -4.633453 -1.965128 2.860175 0.565757 -5.998877
21.830000 -0.103197 1.515734 0.255639 -2.895109 -1.052178 -2.887453 0.778949 -4.703980 -1.936072 2.951279 0.505514 -6.048942
21.840000 -0.087992 1.525098 0.226569 -2.918534 -1.080624 -2.801570 0.731570 -4.771223 -1.906099 3.043415 0.444796 -6.093817
21.850000 -0.072700 1.532972 0.197278 -2.939169 -1.108205 -2.714391 0.683536 -4.834983 -1.875200 3.136534 0.383655 -6.133297
21.860000 -0.057337 1.539347 0.167795 -2.956977 -1.134908 -2.626025 0.634882 -4.895066 -1.843365 3.230574 0.322148 -6.167200
21.870000 -0.041918 1.544213 0.138148 -2.971926 -1.160722 -2.536570 0.585647 -4.951284 -1.810586 3.325466 0.260331 -6.195366
21.880000 -0.026458 1.547567 0.108366 -2.983987 -1.185636 -2.446122 0.535870 -5.003455 -1.776853 3.421132 0.198260 -6.217661
21.890000 -0.010972 1.549403 0.078478 -2.993139 -1.209642 -2.354773 0.485592 -5.051406 -1.742161 3.517484 0.135997 -6.233979
21.900000 0.004525 1.549719 0.048513 -2.999364 -1.232729 -2.262607 0.434857 -5.094975 -1.706502 3.614424 0.073601 -6.244240
21.910000 0.020017 1.548515 0.018500 -3.002651 -1.254891 -2.169704 0.383708 -5.134013 -1.669871 3.711842 0.011133 -6.248395
21.920000 0.035490 1.545793 -0.011531 -3.002993 -1.276121 -2.076140 0.332192 -5.168382 -1.632264 3.809620 -0.051346 -6.246423
21.930000 0.050928 1.541555 -0.041550 -3.000389 -1.296412 -1.981984 0.280356 -5.197959 -1.593678 3.907626 -0.113775 -6.238333
21.940000 0.066316 1.535807 -0.071528 -2.994845 -1.315759 -1.887300 0.228249 -5.222637 -1.554111 4.005720 -0.176093 -6.224166
21.950000 0.081639 1.528556 -0.101437 -2.986372 -1.334156 -1.792149 0.175920 -5.242326 -1.513563 4.103746 -0.238239 -6.203990
21.960000 0.096882 1.519810 -0.131246 -2.974984 -1.351600 -1.696585 0.123420 -5.256954 -1.472037 4.201542 -0.300153 -6.177902
21.970000 0.112031 1.509581 -0.160927 -2.960703 -1.368087 -1.600660 0.070798 -5.266465 -1.429534 4.298930 -0.361777 -6.146026
21.980000 0.127069 1.497880 -0.190451 -2.943556 -1.383613 -1.504417 0.018107 -5.270824 -1.386060 4.395723 -0.423055 -6.108513
21.990000 0.141983 1.484722 -0.219789 -2.923573 -1.398174 -1.407900 -0.034601 -5.270015 -1.341622 4.491723 -0.483929 -6.065539
22.000000 0.156759 1.470122 -0.248913 -2.900792 -1.411770 -1.311145 -0.087276 -5.264041 -1.296229 4.586722 -0.544348 -6.017298
22.010000 0.171381 1.454098 -0.277795 -2.875254 -1.424397 -1.214186 -0.139865 -5.252924 -1.249892 4.680500 -0.604258 -5.964010
22.020000 0.185836 1.436668 -0.306409 -2.847003 -1.436053 -1.117053 -0.192317 -5.236706 -1.202624 4.772828 -0.663612 -5.905908
22.030000 0.200110 1.417853 -0.334727 -2.816090 -1.446737 -1.019773 -0.244582 -5.215446 -1.154441 4.863471 -0.722361 -5.843243
22.040000 0.214189 1.397676 -0.362722 -2.782568 -1.456448 -0.922368 -0.296610 -5.189225 -1.105361 4.952184 -0.780463 -5.776278
22.050000 0.228059 1.376158 -0.390369 -2.746494 -1.465184 -0.824861 -0.348350 -5.158136 -1.055404 5.038716 -0.837874 -5.705288
22.060000 0.241707 1.353326 -0.417644 -2.707928 -1.472945 -0.727267 -0.399756 -5.122292 -1.004595 5.122812 -0.894556 -5.630553
22.070000 0.255121 1.329205 -0.444520 -2.666935 -1.479729 -0.629604 -0.450781 -5.081821 -0.952957 5.204211 -0.950473 -5.552362
22.080000 0.268287 1.303822 -0.470974 -2.623580 -1.485537 -0.531884 -0.501378 -5.036863 -0.900520 5.282653 -1.005592 -5.471004
22.090000 0.281193 1.277206 -0.496984 -2.577932 -1.490367 -0.434120 -0.551504 -4.987574 -0.847315 5.357876 -1.059884 -5.386772
22.100000 0.293827 1.249386 -0.522526 -2.530060 -1.494219 -0.336322 -0.601115 -4.934118 -0.793374 5.429620 -1.113319 -5.299956
22.110000 0.306177 1.220393 -0.547578 -2.480038 -1.497093 -0.238498 -0.650173 -4.876670 -0.738735 5.497628 -1.165875 -5.210843
22.120000 0.318231 1.190259 -0.572119 -2.427939 -1.498989 -0.140657 -0.698636 -4.815416 -0.683435 5.561650 -1.217529 -5.119715
22.130000 0.329979 1.159015 -0.596130 -2.373838 -1.499906 -0.042806 -0.746469 -4.750544 -0.627516 5.621441 -1.268264 -5.026849
22.140000 0.341408 1.126697 -0.619590 -2.317809 -1.499845 0.055048 -0.793636 -4.682252 -0.571021 5.676770 -1.318062 -4.932513
22.150000 0.352509 1.093336 -0.642480 -2.259929 -1.498805 0.152898 -0.840103 -4.610739 -0.513996 5.727414 -1.366910 -4.836967
