# t  theta1(rad)  omega1(rad/s)  theta2(rad)  omega2(rad/s)  theta3(rad)  omega3(rad/s)  theta4(rad)  omega4(rad/s)  theta5(rad)  omega5(rad/s)  theta6(rad)  omega6(rad/s)
0.370000 0.195203 -1.424505 0.447038 -2.662938 0.810623 -3.482993 1.333477 -3.574553 2.037621 -2.624577 2.887850 -0.657184
0.380000 0.180865 -1.442844 0.420201 -2.704158 0.775441 -3.552889 1.297256 -3.669467 2.010935 -2.712756 2.881154 -0.682125
0.390000 0.166350 -1.459791 0.392963 -2.742955 0.739573 -3.620295 1.260090 -3.763408 1.983362 -2.802068 2.874205 -0.707714
0.400000 0.151674 -1.475325 0.365350 -2.779267 0.703044 -3.685077 1.221991 -3.856219 1.954890 -2.892482 2.866998 -0.733972
0.410000 0.136849 -1.489429 0.337386 -2.813033 0.665881 -3.747102 1.182970 -3.947737 1.925509 -2.983958 2.859524 -0.760923
0.420000 0.121890 -1.502086 0.309098 -2.844195 0.628112 -3.806236 1.143041 -4.037790 1.895207 -3.076451 2.851777 -0.788591
0.430000 0.106812 -1.513280 0.280511 -2.872700 0.589766 -3.862349 1.102220 -4.126199 1.863976 -3.169905 2.843749 -0.817000
0.440000 0.091629 -1.522998 0.251653 -2.898496 0.550875 -3.915314 1.060524 -4.212779 1.831806 -3.264256 2.835434 -0.846176
0.450000 0.076357 -1.531229 0.222550 -2.921540 0.511471 -3.965007 1.017971 -4.297341 1.798689 -3.359434 2.826823 -0.876143
0.460000 0.061010 -1.537962 0.193231 -2.941788 0.471586 -4.011307 0.974584 -4.379688 1.764615 -3.455355 2.817909 -0.906927
0.470000 0.045603 -1.543189 0.163724 -2.959205 0.431256 -4.054103 0.930385 -4.459623 1.729579 -3.551928 2.808682 -0.938555
0.480000 0.030151 -1.546904 0.134057 -2.973758 0.390516 -4.093287 0.885400 -4.536944 1.693575 -3.649051 2.799135 -0.971053
0.490000 0.014670 -1.549103 0.104258 -2.985420 0.349403 -4.128758 0.839656 -4.611447 1.656597 -3.746611 2.789258 -1.004449
0.500000 -0.000826 -1.549782 0.074358 -2.994170 0.307954 -4.160424 0.793181 -4.682930 1.618642 -3.844486 2.779043 -1.038769
0.510000 -0.016321 -1.548941 0.044385 -2.999991 0.266208 -4.188202 0.746008 -4.751190 1.579706 -3.942540 2.768479 -1.074043
0.520000 -0.031800 -1.546580 0.014368 -3.002873 0.224203 -4.212016 0.698169 -4.816028 1.539791 -4.040628 2.757558 -1.110297
0.530000 -0.047247 -1.542704 -0.015663 -3.002809 0.181981 -4.231803 0.649700 -4.877246 1.498894 -4.138591 2.746270 -1.147561
0.540000 -0.062649 -1.537316 -0.045678 -2.999801 0.139581 -4.247508 0.600637 -4.934656 1.457020 -4.236263 2.734604 -1.185865
0.550000 -0.077989 -1.530423 -0.075649 -2.993853 0.097044 -4.259087 0.551020 -4.988072 1.414171 -4.333461 2.722549 -1.225236
0.560000 -0.093252 -1.522033 -0.105546 -2.984977 0.054413 -4.266509 0.500889 -5.037321 1.370353 -4.429995 2.710095 -1.265706
0.570000 -0.108424 -1.512157 -0.135339 -2.973190 0.011728 -4.269753 0.450288 -5.082235 1.325574 -4.525664 2.697231 -1.307303
0.580000 -0.123491 -1.500806 -0.165000 -2.958513 -0.030968 -4.268809 0.399260 -5.122662 1.279843 -4.620253 2.683945 -1.350058
0.590000 -0.138436 -1.487994 -0.194500 -2.940973 -0.073634 -4.263680 0.347850 -5.158461 1.233173 -4.713542 2.670226 -1.394002
0.600000 -0.153246 -1.473737 -0.223810 -2.920604 -0.116228 -4.254382 0.296106 -5.189503 1.185577 -4.805298 2.656061 -1.439164
0.610000 -0.167906 -1.458051 -0.252902 -2.897441 -0.158708 -4.240938 0.244076 -5.215677 1.137073 -4.895282 2.641439 -1.485574
0.620000 -0.182402 -1.440955 -0.281749 -2.871526 -0.201033 -4.223388 0.191809 -5.236887 1.087678 -4.983248 2.626346 -1.533264
0.630000 -0.196720 -1.422469 -0.310324 -2.842906 -0.243162 -4.201779 0.139355 -5.253056 1.037415 -5.068942 2.610769 -1.582262
0.640000 -0.210847 -1.402614 -0.338599 -2.811630 -0.285055 -4.176170 0.086765 -5.264123 0.986308 -5.152108 2.594696 -1.632599
0.650000 -0.224768 -1.381414 -0.366548 -2.777754 -0.326673 -4.146630 0.034090 -5.270048 0.934383 -5.232485 2.578113 -1.684303
0.660000 -0.238471 -1.358894 -0.394145 -2.741333 -0.367975 -4.113238 -0.018619 -5.270806 0.881668 -5.309811 2.561005 -1.737405
0.670000 -0.251942 -1.335077 -0.421366 -2.702430 -0.408925 -4.076082 -0.071309 -5.266397 0.828197 -5.383825 2.543360 -1.791931
0.680000 -0.265168 -1.309993 -0.448186 -2.661108 -0.449484 -4.035258 -0.123929 -5.256836 0.774004 -5.454269 2.525162 -1.847910
0.690000 -0.278137 -1.283669 -0.474580 -2.617433 -0.489618 -3.990869 -0.176429 -5.242159 0.719125 -5.520886 2.506397 -1.905368
0.700000 -0.290837 -1.256133 -0.500527 -2.571474 -0.529290 -3.943025 -0.228756 -5.222422 0.663600 -5.583429 2.487049 -1.964331
0.710000 -0.303256 -1.227418 -0.526003 -2.523303 -0.568467 -3.891843 -0.280860 -5.197695 0.607471 -5.641658 2.467105 -2.024822
0.720000 -0.315382 -1.197553 -0.550986 -2.472991 -0.607116 -3.837444 -0.332693 -5.168071 0.550782 -5.695344 2.446548 -2.086864
0.730000 -0.327203 -1.166571 -0.575456 -2.420611 -0.645206 -3.779953 -0.384206 -5.133657 0.493580 -5.744271 2.425362 -2.150479
0.740000 -0.338710 -1.134506 -0.599391 -2.366240 -0.682706 -3.719500 -0.435351 -5.094574 0.435913 -5.788236 2.403533 -2.215685
0.750000 -0.349890 -1.101391 -0.622774 -2.309952 -0.719587 -3.656216 -0.486082 -5.050962 0.377832 -5.827055 2.381043 -2.282498
0.760000 -0.360734 -1.067262 -0.645584 -2.251824 -0.755821 -3.590234 -0.536355 -5.002969 0.319389 -5.860563 2.357877 -2.350934
0.770000 -0.371232 -1.032152 -0.667805 -2.191931 -0.791383 -3.521690 -0.586128 -4.950758 0.260639 -5.888615 2.334019 -2.421002
0.780000 -0.381374 -0.996100 -0.689417 -2.130350 -0.826247 -3.450717 -0.635357 -4.894502 0.201636 -5.911086 2.309452 -2.492712
0.790000 -0.391151 -0.959140 -0.710406 -2.067156 -0.860389 -3.377450 -0.684005 -4.834382 0.142436 -5.927879 2.284159 -2.566068
0.800000 -0.400554 -0.921310 -0.730755 -2.002425 -0.893788 -3.302022 -0.732033 -4.770587 0.083097 -5.938917 2.258125 -2.641071
