# circle in zeta-plane case 4
# xi0 = -0.1, eta0 = 0, r = 1.1
# xi   eta   xi/a   eta/a
0.119305 1.077917 0.119305 1.077917
0.109890 1.079790 0.109890 1.079790
0.100459 1.081580 0.100459 1.081580
0.091013 1.083289 0.091013 1.083289
0.081552 1.084914 0.081552 1.084914
0.072078 1.086457 0.072078 1.086457
0.062590 1.087917 0.062590 1.087917
0.053090 1.089295 0.053090 1.089295
0.043579 1.090589 0.043579 1.090589
0.034056 1.091801 0.034056 1.091801
0.024524 1.092929 0.024524 1.092929
0.014981 1.093974 0.014981 1.093974
0.005430 1.094936 0.005430 1.094936
-0.004129 1.095814 -0.004129 1.095814
-0.013695 1.096609 -0.013695 1.096609
-0.023268 1.097320 -0.023268 1.097320
-0.032847 1.097948 -0.032847 1.097948
-0.042430 1.098492 -0.042430 1.098492
-0.052019 1.098953 -0.052019 1.098953
-0.061611 1.099330 -0.061611 1.099330
-0.071205 1.099623 -0.071205 1.099623
-0.080802 1.099832 -0.080802 1.099832
-0.090401 1.099958 -0.090401 1.099958
-0.100000 1.100000 -0.100000 1.100000
-0.109599 1.099958 -0.109599 1.099958
-0.119198 1.099832 -0.119198 1.099832
-0.128795 1.099623 -0.128795 1.099623
-0.138389 1.099330 -0.138389 1.099330
-0.147981 1.098953 -0.147981 1.098953
-0.157570 1.098492 -0.157570 1.098492
-0.167153 1.097948 -0.167153 1.097948
-0.176732 1.097320 -0.176732 1.097320
-0.186305 1.096609 -0.186305 1.096609
-0.195871 1.095814 -0.195871 1.095814
-0.205430 1.094936 -0.205430 1.094936
-0.214981 1.093974 -0.214981 1.093974
-0.224524 1.092929 -0.224524 1.092929
-0.234056 1.091801 -0.234056 1.091801
-0.243579 1.090589 -0.243579 1.090589
-0.253090 1.089295 -0.253090 1.089295
-0.262590 1.087917 -0.262590 1.087917
-0.272078 1.086457 -0.272078 1.086457
-0.281552 1.084914 -0.281552 1.084914
-0.291013 1.083289 -0.291013 1.083289
-0.300459 1.081580 -0.300459 1.081580
-0.309890 1.079790 -0.309890 1.079790
-0.319305 1.077917 -0.319305 1.077917
-0.328703 1.075962 -0.328703 1.075962
-0.338084 1.073926 -0.338084 1.073926
-0.347446 1.071807 -0.347446 1.071807
-0.356790 1.069607 -0.356790 1.069607
-0.366114 1.067325 -0.366114 1.067325
-0.375418 1.064962 -0.375418 1.064962
-0.384701 1.062518 -0.384701 1.062518
-0.393962 1.059993 -0.393962 1.059993
-0.403201 1.057388 -0.403201 1.057388
-0.412417 1.054702 -0.412417 1.054702
-0.421609 1.051935 -0.421609 1.051935
-0.430776 1.049089 -0.430776 1.049089
-0.439919 1.046162 -0.439919 1.046162
-0.449035 1.043156 -0.449035 1.043156
-0.458125 1.040070 -0.458125 1.040070
-0.467188 1.036906 -0.467188 1.036906
-0.476222 1.033662 -0.476222 1.033662
-0.485228 1.030339 -0.485228 1.030339
-0.494205 1.026938 -0.494205 1.026938
-0.503151 1.023459 -0.503151 1.023459
-0.512067 1.019902 -0.512067 1.019902
-0.520952 1.016267 -0.520952 1.016267
-0.529804 1.012555 -0.529804 1.012555
-0.538624 1.008766 -0.538624 1.008766
-0.547410 1.004900 -0.547410 1.004900
-0.556163 1.000957 -0.556163 1.000957
-0.564880 0.996939 -0.564880 0.996939
-0.573562 0.992844 -0.573562 0.992844
-0.582208 0.988673 -0.582208 0.988673
-0.590818 0.984428 -0.590818 0.984428
-0.599390 0.980107 -0.599390 0.980107
-0.607923 0.975712 -0.607923 0.975712
-0.616419 0.971242 -0.616419 0.971242
-0.624875 0.966699 -0.624875 0.966699
-0.633291 0.962082 -0.633291 0.962082
-0.641666 0.957391 -0.641666 0.957391
-0.650000 0.952628 -0.650000 0.952628
-0.658292 0.947792 -0.658292 0.947792
-0.666542 0.942884 -0.666542 0.942884
-0.674748 0.937904 -0.674748 0.937904
-0.682911 0.932853 -0.682911 0.932853
-0.691030 0.927731 -0.691030 0.927731
-0.699103 0.922538 -0.699103 0.922538
-0.707131 0.917274 -0.707131 0.917274
-0.715112 0.911941 -0.715112 0.911941
-0.723047 0.906539 -0.723047 0.906539
-0.730934 0.901067 -0.730934 0.901067
-0.738773 0.895527 -0.738773 0.895527
-0.746564 0.889919 -0.746564 0.889919
-0.754305 0.884243 -0.754305 0.884243
-0.761997 0.878499 -0.761997 0.878499
-0.769638 0.872689 -0.769638 0.872689
-0.777228 0.866812 -0.777228 0.866812
-0.784766 0.860869 -0.784766 0.860869
-0.792252 0.854861 -0.792252 0.854861
-0.799686 0.848787 -0.799686 0.848787
-0.807066 0.842649 -0.807066 0.842649
-0.814393 0.836447 -0.814393 0.836447
-0.821665 0.830181 -0.821665 0.830181
-0.828882 0.823851 -0.828882 0.823851
-0.836044 0.817459 -0.836044 0.817459
-0.843149 0.811005 -0.843149 0.811005
-0.850198 0.804489 -0.850198 0.804489
-0.857190 0.797912 -0.857190 0.797912
-0.864124 0.791274 -0.864124 0.791274
-0.871000 0.784575 -0.871000 0.784575
-0.877817 0.777817 -0.877817 0.777817
-0.884575 0.771000 -0.884575 0.771000
-0.891274 0.764124 -0.891274 0.764124
-0.897912 0.757190 -0.897912 0.757190
-0.904489 0.750198 -0.904489 0.750198
-0.911005 0.743149 -0.911005 0.743149
-0.917459 0.736044 -0.917459 0.736044
-0.923851 0.728882 -0.923851 0.728882
-0.930181 0.721665 -0.930181 0.721665
-0.936447 0.714393 -0.936447 0.714393
-0.942649 0.707066 -0.942649 0.707066
-0.948787 0.699686 -0.948787 0.699686
-0.954861 0.692252 -0.954861 0.692252
-0.960869 0.684766 -0.960869 0.684766
-0.966812 0.677228 -0.966812 0.677228
-0.972689 0.669638 -0.972689 0.669638
-0.978499 0.661997 -0.978499 0.661997
-0.984243 0.654305 -0.984243 0.654305
-0.989919 0.646564 -0.989919 0.646564
-0.995527 0.638773 -0.995527 0.638773
-1.001067 0.630934 -1.001067 0.630934
-1.006539 0.623047 -1.006539 0.623047
-1.011941 0.615112 -1.011941 0.615112
-1.017274 0.607131 -1.017274 0.607131
-1.022538 0.599103 -1.022538 0.599103
-1.027731 0.591030 -1.027731 0.591030
-1.032853 0.582911 -1.032853 0.582911
-1.037904 0.574748 -1.037904 0.574748
-1.042884 0.566542 -1.042884 0.566542
-1.047792 0.558292 -1.047792 0.558292
-1.052628 0.550000 -1.052628 0.550000
-1.057391 0.541666 -1.057391 0.541666
-1.062082 0.533291 -1.062082 0.533291
-1.066699 0.524875 -1.066699 0.524875
-1.071242 0.516419 -1.071242 0.516419
-1.075712 0.507923 -1.075712 0.507923
-1.080107 0.499390 -1.080107 0.499390
