# Joukowski airfoil case 9
# a = 1, xi0 = -0.1, eta0 = 0.3, r = 1.14018
# x   y   x/a   y/a
0.204847 0.715241 0.204847 0.715241
0.190189 0.717360 0.190189 0.717360
0.175521 0.719420 0.175521 0.719420
0.160846 0.721419 0.160846 0.721419
0.146162 0.723358 0.146162 0.723358
0.131472 0.725237 0.131472 0.725237
0.116776 0.727054 0.116776 0.727054
0.102074 0.728811 0.102074 0.728811
0.087367 0.730506 0.087367 0.730506
0.072656 0.732140 0.072656 0.732140
0.057942 0.733712 0.057942 0.733712
0.043226 0.735222 0.043226 0.735222
0.028508 0.736670 0.028508 0.736670
0.013788 0.738056 0.013788 0.738056
-0.000931 0.739379 -0.000931 0.739379
-0.015651 0.740640 -0.015651 0.740640
-0.030369 0.741837 -0.030369 0.741837
-0.045085 0.742973 -0.045085 0.742973
-0.059798 0.744045 -0.059798 0.744045
-0.074508 0.745054 -0.074508 0.745054
-0.089214 0.745999 -0.089214 0.745999
-0.103915 0.746881 -0.103915 0.746881
-0.118611 0.747700 -0.118611 0.747700
-0.133300 0.748456 -0.133300 0.748456
-0.147982 0.749147 -0.147982 0.749147
-0.162656 0.749775 -0.162656 0.749775
-0.177322 0.750339 -0.177322 0.750339
-0.191978 0.750840 -0.191978 0.750840
-0.206625 0.751276 -0.206625 0.751276
-0.221260 0.751649 -0.221260 0.751649
-0.235884 0.751958 -0.235884 0.751958
-0.250496 0.752202 -0.250496 0.752202
-0.265095 0.752383 -0.265095 0.752383
-0.279680 0.752500 -0.279680 0.752500
-0.294250 0.752553 -0.294250 0.752553
-0.308805 0.752542 -0.308805 0.752542
-0.323345 0.752467 -0.323345 0.752467
-0.337867 0.752328 -0.337867 0.752328
-0.352372 0.752125 -0.352372 0.752125
-0.366859 0.751859 -0.366859 0.751859
-0.381327 0.751528 -0.381327 0.751528
-0.395776 0.751135 -0.395776 0.751135
-0.410204 0.750677 -0.410204 0.750677
-0.424610 0.750156 -0.424610 0.750156
-0.438995 0.749572 -0.438995 0.749572
-0.453358 0.748924 -0.453358 0.748924
-0.467697 0.748213 -0.467697 0.748213
-0.482012 0.747439 -0.482012 0.747439
-0.496302 0.746602 -0.496302 0.746602
-0.510567 0.745702 -0.510567 0.745702
-0.524806 0.744739 -0.524806 0.744739
-0.539017 0.743714 -0.539017 0.743714
-0.553201 0.742626 -0.553201 0.742626
-0.567357 0.741477 -0.567357 0.741477
-0.581483 0.740265 -0.581483 0.740265
-0.595579 0.738991 -0.595579 0.738991
-0.609645 0.737656 -0.609645 0.737656
-0.623680 0.736259 -0.623680 0.736259
-0.637683 0.734801 -0.637683 0.734801
-0.651652 0.733281 -0.651652 0.733281
-0.665589 0.731701 -0.665589 0.731701
-0.679491 0.730061 -0.679491 0.730061
-0.693359 0.728360 -0.693359 0.728360
-0.707190 0.726598 -0.707190 0.726598
-0.720986 0.724777 -0.720986 0.724777
-0.734744 0.722897 -0.734744 0.722897
-0.748465 0.720957 -0.748465 0.720957
-0.762148 0.718958 -0.762148 0.718958
-0.775791 0.716900 -0.775791 0.716900
-0.789394 0.714784 -0.789394 0.714784
-0.802957 0.712609 -0.802957 0.712609
-0.816479 0.710377 -0.816479 0.710377
