# circle in zeta-plane case 9
# xi0 = -0.1, eta0 = 0.3, r = 1.14018
# xi   eta   xi/a   eta/a
0.127314 1.417286 0.127314 1.417286
0.117556 1.419227 0.117556 1.419227
0.107780 1.421083 0.107780 1.421083
0.097989 1.422854 0.097989 1.422854
0.088183 1.424539 0.088183 1.424539
0.078363 1.426138 0.078363 1.426138
0.068529 1.427652 0.068529 1.427652
0.058682 1.429079 0.058682 1.429079
0.048823 1.430421 0.048823 1.430421
0.038952 1.431677 0.038952 1.431677
0.029072 1.432846 0.029072 1.432846
0.019181 1.433929 0.019181 1.433929
0.009281 1.434926 0.009281 1.434926
-0.000627 1.435837 -0.000627 1.435837
-0.010543 1.436661 -0.010543 1.436661
-0.020465 1.437398 -0.020465 1.437398
-0.030394 1.438049 -0.030394 1.438049
-0.040328 1.438613 -0.040328 1.438613
-0.050266 1.439090 -0.050266 1.439090
-0.060208 1.439481 -0.060208 1.439481
-0.070154 1.439785 -0.070154 1.439785
-0.080101 1.440002 -0.080101 1.440002
-0.090050 1.440132 -0.090050 1.440132
-0.100000 1.440175 -0.100000 1.440175
-0.109950 1.440132 -0.109950 1.440132
-0.119899 1.440002 -0.119899 1.440002
-0.129846 1.439785 -0.129846 1.439785
-0.139792 1.439481 -0.139792 1.439481
-0.149734 1.439090 -0.149734 1.439090
-0.159672 1.438613 -0.159672 1.438613
-0.169606 1.438049 -0.169606 1.438049
-0.179535 1.437398 -0.179535 1.437398
-0.189457 1.436661 -0.189457 1.436661
-0.199373 1.435837 -0.199373 1.435837
-0.209281 1.434926 -0.209281 1.434926
-0.219181 1.433929 -0.219181 1.433929
-0.229072 1.432846 -0.229072 1.432846
-0.238952 1.431677 -0.238952 1.431677
-0.248823 1.430421 -0.248823 1.430421
-0.258682 1.429079 -0.258682 1.429079
-0.268529 1.427652 -0.268529 1.427652
-0.278363 1.426138 -0.278363 1.426138
-0.288183 1.424539 -0.288183 1.424539
-0.297989 1.422854 -0.297989 1.422854
-0.307780 1.421083 -0.307780 1.421083
-0.317556 1.419227 -0.317556 1.419227
-0.327314 1.417286 -0.327314 1.417286
-0.337056 1.415260 -0.337056 1.415260
-0.346779 1.413149 -0.346779 1.413149
-0.356484 1.410953 -0.356484 1.410953
-0.366169 1.408672 -0.366169 1.408672
-0.375833 1.406307 -0.375833 1.406307
-0.385477 1.403858 -0.385477 1.403858
-0.395099 1.401325 -0.395099 1.401325
-0.404699 1.398708 -0.404699 1.398708
-0.414275 1.396007 -0.414275 1.396007
-0.423827 1.393223 -0.423827 1.393223
-0.433355 1.390355 -0.433355 1.390355
-0.442857 1.387405 -0.442857 1.387405
-0.452334 1.384371 -0.452334 1.384371
-0.461783 1.381255 -0.461783 1.381255
-0.471205 1.378057 -0.471205 1.378057
-0.480598 1.374777 -0.480598 1.374777
-0.489963 1.371414 -0.489963 1.371414
-0.499298 1.367971 -0.499298 1.367971
-0.508602 1.364445 -0.508602 1.364445
-0.517876 1.360839 -0.517876 1.360839
-0.527117 1.357152 -0.527117 1.357152
-0.536326 1.353385 -0.536326 1.353385
-0.545502 1.349537 -0.545502 1.349537
-0.554644 1.345609 -0.554644 1.345609
-0.563751 1.341602 -0.563751 1.341602
-0.572823 1.337515 -0.572823 1.337515
-0.581859 1.333350 -0.581859 1.333350
-0.590858 1.329106 -0.590858 1.329106
-0.599820 1.324783 -0.599820 1.324783
-0.608744 1.320382 -0.608744 1.320382
-0.617629 1.315904 -0.617629 1.315904
-0.626474 1.311348 -0.626474 1.311348
-0.635280 1.306715 -0.635280 1.306715
-0.644045 1.302006 -0.644045 1.302006
-0.652768 1.297220 -0.652768 1.297220
-0.661449 1.292358 -0.661449 1.292358
-0.670088 1.287421 -0.670088 1.287421
-0.678683 1.282408 -0.678683 1.282408
-0.687234 1.277321 -0.687234 1.277321
-0.695740 1.272159 -0.695740 1.272159
-0.704201 1.266924 -0.704201 1.266924
-0.712616 1.261614 -0.712616 1.261614
-0.720984 1.256232 -0.720984 1.256232
-0.729305 1.250776 -0.729305 1.250776
-0.737578 1.245248 -0.737578 1.245248
-0.745802 1.239648 -0.745802 1.239648
-0.753978 1.233977 -0.753978 1.233977
-0.762103 1.228235 -0.762103 1.228235
-0.770178 1.222421 -0.770178 1.222421
-0.778202 1.216538 -0.778202 1.216538
-0.786175 1.210585 -0.786175 1.210585
-0.794095 1.204562 -0.794095 1.204562
-0.801962 1.198470 -0.801962 1.198470
-0.809776 1.192311 -0.809776 1.192311
-0.817536 1.186083 -0.817536 1.186083
-0.825241 1.179787 -0.825241 1.179787
-0.832891 1.173425 -0.832891 1.173425
-0.840485 1.166996 -0.840485 1.166996
-0.848022 1.160501 -0.848022 1.160501
-0.855503 1.153941 -0.855503 1.153941
-0.862926 1.147315 -0.862926 1.147315
-0.870291 1.140626 -0.870291 1.140626
-0.877598 1.133872 -0.877598 1.133872
-0.884845 1.127054 -0.884845 1.127054
-0.892032 1.120174 -0.892032 1.120174
-0.899160 1.113231 -0.899160 1.113231
-0.906226 1.106226 -0.906226 1.106226
-0.913231 1.099160 -0.913231 1.099160
-0.920174 1.092032 -0.920174 1.092032
-0.927054 1.084845 -0.927054 1.084845
-0.933872 1.077598 -0.933872 1.077598
-0.940626 1.070291 -0.940626 1.070291
-0.947315 1.062926 -0.947315 1.062926
-0.953941 1.055503 -0.953941 1.055503
-0.960501 1.048022 -0.960501 1.048022
-0.966996 1.040485 -0.966996 1.040485
-0.973425 1.032891 -0.973425 1.032891
-0.979787 1.025241 -0.979787 1.025241
-0.986083 1.017536 -0.986083 1.017536
-0.992311 1.009776 -0.992311 1.009776
-0.998470 1.001962 -0.998470 1.001962
-1.004562 0.994095 -1.004562 0.994095
-1.010585 0.986175 -1.010585 0.986175
-1.016538 0.978202 -1.016538 0.978202
-1.022421 0.970178 -1.022421 0.970178
-1.028235 0.962103 -1.028235 0.962103
-1.033977 0.953978 -1.033977 0.953978
-1.039648 0.945802 -1.039648 0.945802
-1.045248 0.937578 -1.045248 0.937578
-1.050776 0.929305 -1.050776 0.929305
-1.056232 0.920984 -1.056232 0.920984
-1.061614 0.912616 -1.061614 0.912616
-1.066924 0.904201 -1.066924 0.904201
-1.072159 0.895740 -1.072159 0.895740
-1.077321 0.887234 -1.077321 0.887234
-1.082408 0.878683 -1.082408 0.878683
-1.087421 0.870088 -1.087421 0.870088
-1.092358 0.861449 -1.092358 0.861449
-1.097220 0.852768 -1.097220 0.852768
-1.102006 0.844045 -1.102006 0.844045
-1.106715 0.835280 -1.106715 0.835280
