# circle in zeta-plane case 7
# xi0 = -0.1, eta0 = 0.1, r = 1.10454
# xi   eta   xi/a   eta/a
1.004536 0.100000 1.004536 0.100000
1.004494 0.109639 1.004494 0.109639
1.004368 0.119277 1.004368 0.119277
1.004158 0.128913 1.004158 0.128913
1.003863 0.138548 1.003863 0.138548
1.003485 0.148179 1.003485 0.148179
1.003022 0.157807 1.003022 0.157807
1.002476 0.167430 1.002476 0.167430
1.001846 0.177049 1.001846 0.177049
1.001131 0.186661 1.001131 0.186661
1.000333 0.196267 1.000333 0.196267
0.999451 0.205865 0.999451 0.205865
0.998485 0.215455 0.998485 0.215455
0.997436 0.225037 0.997436 0.225037
0.996303 0.234609 0.996303 0.234609
0.995087 0.244171 0.995087 0.244171
0.993787 0.253722 0.993787 0.253722
0.992404 0.263261 0.992404 0.263261
0.990937 0.272788 0.990937 0.272788
0.989388 0.282301 0.989388 0.282301
0.987756 0.291801 0.987756 0.291801
0.986041 0.301286 0.986041 0.301286
0.984243 0.310755 0.984243 0.310755
0.982362 0.320209 0.982362 0.320209
0.980399 0.329646 0.980399 0.329646
0.978354 0.339065 0.978354 0.339065
0.976227 0.348467 0.976227 0.348467
0.974018 0.357849 0.974018 0.357849
0.971727 0.367211 0.971727 0.367211
0.969354 0.376554 0.969354 0.376554
0.966900 0.385875 0.966900 0.385875
0.964365 0.395174 0.964365 0.395174
0.961748 0.404451 0.961748 0.404451
0.959051 0.413705 0.959051 0.413705
0.956273 0.422935 0.956273 0.422935
0.953415 0.432140 0.953415 0.432140
0.950476 0.441320 0.950476 0.441320
0.947458 0.450474 0.947458 0.450474
0.944359 0.459602 0.944359 0.459602
0.941182 0.468702 0.941182 0.468702
0.937924 0.477774 0.937924 0.477774
0.934588 0.486817 0.934588 0.486817
0.931173 0.495830 0.931173 0.495830
0.927680 0.504814 0.927680 0.504814
0.924108 0.513767 0.924108 0.513767
0.920458 0.522688 0.920458 0.522688
0.916731 0.531577 0.916731 0.531577
0.912926 0.540433 0.912926 0.540433
0.909044 0.549255 0.909044 0.549255
0.905085 0.558044 0.905085 0.558044
0.901050 0.566797 0.901050 0.566797
0.896938 0.575515 0.896938 0.575515
0.892750 0.584197 0.892750 0.584197
0.888487 0.592842 0.888487 0.592842
0.884149 0.601449 0.884149 0.601449
0.879735 0.610018 0.879735 0.610018
0.875247 0.618548 0.875247 0.618548
0.870685 0.627039 0.870685 0.627039
0.866049 0.635490 0.866049 0.635490
0.861339 0.643900 0.861339 0.643900
0.856556 0.652268 0.856556 0.652268
0.851701 0.660594 0.851701 0.660594
0.846772 0.668878 0.846772 0.668878
0.841772 0.677119 0.841772 0.677119
0.836700 0.685315 0.836700 0.685315
0.831556 0.693467 0.831556 0.693467
0.826342 0.701573 0.826342 0.701573
0.821057 0.709634 0.821057 0.709634
0.815702 0.717649 0.815702 0.717649
0.810277 0.725616 0.810277 0.725616
0.804783 0.733536 0.804783 0.733536
0.799220 0.741407 0.799220 0.741407
0.793588 0.749230 0.793588 0.749230
0.787889 0.757003 0.787889 0.757003
0.782122 0.764726 0.782122 0.764726
0.776287 0.772399 0.776287 0.772399
0.770386 0.780020 0.770386 0.780020
0.764419 0.787590 0.764419 0.787590
0.758386 0.795107 0.758386 0.795107
0.752287 0.802571 0.752287 0.802571
0.746124 0.809982 0.746124 0.809982
0.739896 0.817339 0.739896 0.817339
0.733604 0.824641 0.733604 0.824641
0.727249 0.831888 0.727249 0.831888
0.720830 0.839079 0.720830 0.839079
0.714349 0.846214 0.714349 0.846214
0.707807 0.853292 0.707807 0.853292
0.701202 0.860312 0.701202 0.860312
0.694537 0.867275 0.694537 0.867275
0.687811 0.874180 0.687811 0.874180
0.681025 0.881025 0.681025 0.881025
0.674180 0.887811 0.674180 0.887811
0.667275 0.894537 0.667275 0.894537
0.660312 0.901202 0.660312 0.901202
0.653292 0.907807 0.653292 0.907807
0.646214 0.914349 0.646214 0.914349
0.639079 0.920830 0.639079 0.920830
0.631888 0.927249 0.631888 0.927249
0.624641 0.933604 0.624641 0.933604
0.617339 0.939896 0.617339 0.939896
0.609982 0.946124 0.609982 0.946124
0.602571 0.952287 0.602571 0.952287
0.595107 0.958386 0.595107 0.958386
0.587590 0.964419 0.587590 0.964419
0.580020 0.970386 0.580020 0.970386
0.572399 0.976287 0.572399 0.976287
0.564726 0.982122 0.564726 0.982122
0.557003 0.987889 0.557003 0.987889
0.549230 0.993588 0.549230 0.993588
0.541407 0.999220 0.541407 0.999220
0.533536 1.004783 0.533536 1.004783
0.525616 1.010277 0.525616 1.010277
0.517649 1.015702 0.517649 1.015702
0.509634 1.021057 0.509634 1.021057
0.501573 1.026342 0.501573 1.026342
0.493467 1.031556 0.493467 1.031556
0.485315 1.036700 0.485315 1.036700
0.477119 1.041772 0.477119 1.041772
0.468878 1.046772 0.468878 1.046772
0.460594 1.051701 0.460594 1.051701
0.452268 1.056556 0.452268 1.056556
0.443900 1.061339 0.443900 1.061339
0.435490 1.066049 0.435490 1.066049
0.427039 1.070685 0.427039 1.070685
0.418548 1.075247 0.418548 1.075247
0.410018 1.079735 0.410018 1.079735
0.401449 1.084149 0.401449 1.084149
0.392842 1.088487 0.392842 1.088487
0.384197 1.092750 0.384197 1.092750
0.375515 1.096938 0.375515 1.096938
0.366797 1.101050 0.366797 1.101050
0.358044 1.105085 0.358044 1.105085
0.349255 1.109044 0.349255 1.109044
0.340433 1.112926 0.340433 1.112926
0.331577 1.116731 0.331577 1.116731
0.322688 1.120458 0.322688 1.120458
0.313767 1.124108 0.313767 1.124108
0.304814 1.127680 0.304814 1.127680
0.295830 1.131173 0.295830 1.131173
0.286817 1.134588 0.286817 1.134588
0.277774 1.137924 0.277774 1.137924
0.268702 1.141182 0.268702 1.141182
0.259602 1.144359 0.259602 1.144359
0.250474 1.147458 0.250474 1.147458
0.241320 1.150476 0.241320 1.150476
0.232140 1.153415 0.232140 1.153415
0.222935 1.156273 0.222935 1.156273
0.213705 1.159051 0.213705 1.159051
0.204451 1.161748 0.204451 1.161748
0.195174 1.164365 0.195174 1.164365
0.185875 1.166900 0.185875 1.166900
0.176554 1.169354 0.176554 1.169354
0.167211 1.171727 0.167211 1.171727
0.157849 1.174018 0.157849 1.174018
0.148467 1.176227 0.148467 1.176227
0.139065 1.178354 0.139065 1.178354
0.129646 1.180399 0.129646 1.180399
0.120209 1.182362 0.120209 1.182362
0.110755 1.184243 0.110755 1.184243
0.101286 1.186041 0.101286 1.186041
0.091801 1.187756 0.091801 1.187756
0.082301 1.189388 0.082301 1.189388
0.072788 1.190937 0.072788 1.190937
0.063261 1.192404 0.063261 1.192404
0.053722 1.193787 0.053722 1.193787
0.044171 1.195087 0.044171 1.195087
0.034609 1.196303 0.034609 1.196303
0.025037 1.197436 0.025037 1.197436
0.015455 1.198485 0.015455 1.198485
0.005865 1.199451 0.005865 1.199451
-0.003733 1.200333 -0.003733 1.200333
-0.013339 1.201131 -0.013339 1.201131
-0.022951 1.201846 -0.022951 1.201846
-0.032570 1.202476 -0.032570 1.202476
-0.042193 1.203022 -0.042193 1.203022
-0.051821 1.203485 -0.051821 1.203485
-0.061452 1.203863 -0.061452 1.203863
-0.071087 1.204158 -0.071087 1.204158
-0.080723 1.204368 -0.080723 1.204368
-0.090361 1.204494 -0.090361 1.204494
-0.100000 1.204536 -0.100000 1.204536
-0.109639 1.204494 -0.109639 1.204494
-0.119277 1.204368 -0.119277 1.204368
-0.128913 1.204158 -0.128913 1.204158
-0.138548 1.203863 -0.138548 1.203863
-0.148179 1.203485 -0.148179 1.203485
-0.157807 1.203022 -0.157807 1.203022
-0.167430 1.202476 -0.167430 1.202476
-0.177049 1.201846 -0.177049 1.201846
-0.186661 1.201131 -0.186661 1.201131
-0.196267 1.200333 -0.196267 1.200333
-0.205865 1.199451 -0.205865 1.199451
-0.215455 1.198485 -0.215455 1.198485
-0.225037 1.197436 -0.225037 1.197436
-0.234609 1.196303 -0.234609 1.196303
-0.244171 1.195087 -0.244171 1.195087
-0.253722 1.193787 -0.253722 1.193787
-0.263261 1.192404 -0.263261 1.192404
-0.272788 1.190937 -0.272788 1.190937
-0.282301 1.189388 -0.282301 1.189388
-0.291801 1.187756 -0.291801 1.187756
-0.301286 1.186041 -0.301286 1.186041
-0.310755 1.184243 -0.310755 1.184243
-0.320209 1.182362 -0.320209 1.182362
-0.329646 1.180399 -0.329646 1.180399
-0.339065 1.178354 -0.339065 1.178354
-0.348467 1.176227 -0.348467 1.176227
-0.357849 1.174018 -0.357849 1.174018
-0.367211 1.171727 -0.367211 1.171727
-0.376554 1.169354 -0.376554 1.169354
-0.385875 1.166900 -0.385875 1.166900
-0.395174 1.164365 -0.395174 1.164365
-0.404451 1.161748 -0.404451 1.161748
-0.413705 1.159051 -0.413705 1.159051
-0.422935 1.156273 -0.422935 1.156273
-0.432140 1.153415 -0.432140 1.153415
-0.441320 1.150476 -0.441320 1.150476
-0.450474 1.147458 -0.450474 1.147458
-0.459602 1.144359 -0.459602 1.144359
-0.468702 1.141182 -0.468702 1.141182
-0.477774 1.137924 -0.477774 1.137924
-0.486817 1.134588 -0.486817 1.134588
-0.495830 1.131173 -0.495830 1.131173
-0.504814 1.127680 -0.504814 1.127680
-0.513767 1.124108 -0.513767 1.124108
-0.522688 1.120458 -0.522688 1.120458
-0.531577 1.116731 -0.531577 1.116731
-0.540433 1.112926 -0.540433 1.112926
-0.549255 1.109044 -0.549255 1.109044
-0.558044 1.105085 -0.558044 1.105085
-0.566797 1.101050 -0.566797 1.101050
-0.575515 1.096938 -0.575515 1.096938
-0.584197 1.092750 -0.584197 1.092750
-0.592842 1.088487 -0.592842 1.088487
-0.601449 1.084149 -0.601449 1.084149
-0.610018 1.079735 -0.610018 1.079735
-0.618548 1.075247 -0.618548 1.075247
-0.627039 1.070685 -0.627039 1.070685
-0.635490 1.066049 -0.635490 1.066049
-0.643900 1.061339 -0.643900 1.061339
-0.652268 1.056556 -0.652268 1.056556
-0.660594 1.051701 -0.660594 1.051701
-0.668878 1.046772 -0.668878 1.046772
-0.677119 1.041772 -0.677119 1.041772
-0.685315 1.036700 -0.685315 1.036700
-0.693467 1.031556 -0.693467 1.031556
-0.701573 1.026342 -0.701573 1.026342
-0.709634 1.021057 -0.709634 1.021057
-0.717649 1.015702 -0.717649 1.015702
-0.725616 1.010277 -0.725616 1.010277
-0.733536 1.004783 -0.733536 1.004783
-0.741407 0.999220 -0.741407 0.999220
-0.749230 0.993588 -0.749230 0.993588
-0.757003 0.987889 -0.757003 0.987889
-0.764726 0.982122 -0.764726 0.982122
-0.772399 0.976287 -0.772399 0.976287
-0.780020 0.970386 -0.780020 0.970386
-0.787590 0.964419 -0.787590 0.964419
-0.795107 0.958386 -0.795107 0.958386
-0.802571 0.952287 -0.802571 0.952287
-0.809982 0.946124 -0.809982 0.946124
-0.817339 0.939896 -0.817339 0.939896
-0.824641 0.933604 -0.824641 0.933604
-0.831888 0.927249 -0.831888 0.927249
-0.839079 0.920830 -0.839079 0.920830
-0.846214 0.914349 -0.846214 0.914349
-0.853292 0.907807 -0.853292 0.907807
-0.860312 0.901202 -0.860312 0.901202
-0.867275 0.894537 -0.867275 0.894537
-0.874180 0.887811 -0.874180 0.887811
-0.881025 0.881025 -0.881025 0.881025
-0.887811 0.874180 -0.887811 0.874180
-0.894537 0.867275 -0.894537 0.867275
-0.901202 0.860312 -0.901202 0.860312
-0.907807 0.853292 -0.907807 0.853292
-0.914349 0.846214 -0.914349 0.846214
-0.920830 0.839079 -0.920830 0.839079
-0.927249 0.831888 -0.927249 0.831888
-0.933604 0.824641 -0.933604 0.824641
-0.939896 0.817339 -0.939896 0.817339
-0.946124 0.809982 -0.946124 0.809982
-0.952287 0.802571 -0.952287 0.802571
-0.958386 0.795107 -0.958386 0.795107
-0.964419 0.787590 -0.964419 0.787590
-0.970386 0.780020 -0.970386 0.780020
-0.976287 0.772399 -0.976287 0.772399
-0.982122 0.764726 -0.982122 0.764726
-0.987889 0.757003 -0.987889 0.757003
-0.993588 0.749230 -0.993588 0.749230
-0.999220 0.741407 -0.999220 0.741407
-1.004783 0.733536 -1.004783 0.733536
-1.010277 0.725616 -1.010277 0.725616
-1.015702 0.717649 -1.015702 0.717649
-1.021057 0.709634 -1.021057 0.709634
-1.026342 0.701573 -1.026342 0.701573
-1.031556 0.693467 -1.031556 0.693467
-1.036700 0.685315 -1.036700 0.685315
-1.041772 0.677119 -1.041772 0.677119
-1.046772 0.668878 -1.046772 0.668878
-1.051701 0.660594 -1.051701 0.660594
-1.056556 0.652268 -1.056556 0.652268
-1.061339 0.643900 -1.061339 0.643900
-1.066049 0.635490 -1.066049 0.635490
-1.070685 0.627039 -1.070685 0.627039
-1.075247 0.618548 -1.075247 0.618548
-1.079735 0.610018 -1.079735 0.610018
-1.084149 0.601449 -1.084149 0.601449
-1.088487 0.592842 -1.088487 0.592842
