# Joukowski airfoil case 6
# a = 1, xi0 = -0.3, eta0 = 0, r = 1.3
# x   y   x/a   y/a
-0.048082 0.485605 -0.048082 0.485605
-0.065951 0.489718 -0.065951 0.489718
-0.083796 0.493784 -0.083796 0.493784
-0.101616 0.497802 -0.101616 0.497802
-0.119411 0.501772 -0.119411 0.501772
-0.137179 0.505692 -0.137179 0.505692
-0.154920 0.509562 -0.154920 0.509562
-0.172633 0.513381 -0.172633 0.513381
-0.190316 0.517148 -0.190316 0.517148
-0.207969 0.520861 -0.207969 0.520861
-0.225590 0.524521 -0.225590 0.524521
-0.243180 0.528126 -0.243180 0.528126
-0.260737 0.531676 -0.260737 0.531676
-0.278260 0.535169 -0.278260 0.535169
-0.295749 0.538605 -0.295749 0.538605
-0.313202 0.541983 -0.313202 0.541983
-0.330618 0.545303 -0.330618 0.545303
-0.347997 0.548563 -0.347997 0.548563
-0.365338 0.551763 -0.365338 0.551763
-0.382641 0.554903 -0.382641 0.554903
-0.399903 0.557980 -0.399903 0.557980
-0.417125 0.560996 -0.417125 0.560996
-0.434306 0.563949 -0.434306 0.563949
-0.451444 0.566838 -0.451444 0.566838
-0.468539 0.569663 -0.468539 0.569663
-0.485591 0.572423 -0.485591 0.572423
-0.502598 0.575118 -0.502598 0.575118
-0.519559 0.577747 -0.519559 0.577747
-0.536474 0.580310 -0.536474 0.580310
-0.553343 0.582806 -0.553343 0.582806
-0.570163 0.585234 -0.570163 0.585234
-0.586936 0.587594 -0.586936 0.587594
-0.603658 0.589885 -0.603658 0.589885
-0.620331 0.592107 -0.620331 0.592107
-0.636953 0.594260 -0.636953 0.594260
-0.653524 0.596342 -0.653524 0.596342
-0.670042 0.598355 -0.670042 0.598355
-0.686507 0.600296 -0.686507 0.600296
-0.702919 0.602166 -0.702919 0.602166
-0.719276 0.603964 -0.719276 0.603964
-0.735577 0.605691 -0.735577 0.605691
-0.751823 0.607344 -0.751823 0.607344
-0.768012 0.608925 -0.768012 0.608925
-0.784144 0.610433 -0.784144 0.610433
-0.800218 0.611868 -0.800218 0.611868
-0.816233 0.613228 -0.816233 0.613228
-0.832188 0.614515 -0.832188 0.614515
-0.848084 0.615727 -0.848084 0.615727
-0.863918 0.616865 -0.863918 0.616865
-0.879691 0.617928 -0.879691 0.617928
-0.895401 0.618915 -0.895401 0.618915
-0.911049 0.619828 -0.911049 0.619828
-0.926633 0.620665 -0.926633 0.620665
-0.942152 0.621426 -0.942152 0.621426
-0.957607 0.622111 -0.957607 0.622111
-0.972996 0.622720 -0.972996 0.622720
-0.988318 0.623253 -0.988318 0.623253
-1.003574 0.623710 -1.003574 0.623710
-1.018762 0.624090 -1.018762 0.624090
-1.033881 0.624393 -1.033881 0.624393
-1.048932 0.624620 -1.048932 0.624620
-1.063913 0.624770 -1.063913 0.624770
-1.078823 0.624844 -1.078823 0.624844
-1.093663 0.624840 -1.093663 0.624840
-1.108431 0.624759 -1.108431 0.624759
-1.123126 0.624601 -1.123126 0.624601
-1.137749 0.624367 -1.137749 0.624367
