# Joukowski airfoil case 2
# a = 1, xi0 = 0, eta0 = 0.2, r = 1.0198
# x   y   x/a   y/a
0.340717 0.388826 0.340717 0.388826
0.326028 0.389769 0.326028 0.389769
0.311323 0.390672 0.311323 0.390672
0.296601 0.391534 0.296601 0.391534
0.281865 0.392355 0.281865 0.392355
0.267114 0.393135 0.267114 0.393135
0.252349 0.393873 0.252349 0.393873
0.237572 0.394570 0.237572 0.394570
0.222783 0.395225 0.222783 0.395225
0.207982 0.395839 0.207982 0.395839
0.193170 0.396411 0.193170 0.396411
0.178349 0.396941 0.178349 0.396941
0.163518 0.397428 0.163518 0.397428
0.148680 0.397874 0.148680 0.397874
0.133833 0.398277 0.133833 0.398277
0.118980 0.398639 0.118980 0.398639
0.104121 0.398957 0.104121 0.398957
0.089256 0.399234 0.089256 0.399234
0.074387 0.399468 0.074387 0.399468
0.059514 0.399659 0.059514 0.399659
0.044638 0.399808 0.044638 0.399808
0.029760 0.399915 0.029760 0.399915
0.014880 0.399979 0.014880 0.399979
0.000000 0.400000 0.000000 0.400000
-0.014880 0.399979 -0.014880 0.399979
-0.029760 0.399915 -0.029760 0.399915
-0.044638 0.399808 -0.044638 0.399808
-0.059514 0.399659 -0.059514 0.399659
-0.074387 0.399468 -0.074387 0.399468
-0.089256 0.399234 -0.089256 0.399234
-0.104121 0.398957 -0.104121 0.398957
-0.118980 0.398639 -0.118980 0.398639
-0.133833 0.398277 -0.133833 0.398277
-0.148680 0.397874 -0.148680 0.397874
-0.163518 0.397428 -0.163518 0.397428
-0.178349 0.396941 -0.178349 0.396941
-0.193170 0.396411 -0.193170 0.396411
-0.207982 0.395839 -0.207982 0.395839
-0.222783 0.395225 -0.222783 0.395225
-0.237572 0.394570 -0.237572 0.394570
-0.252349 0.393873 -0.252349 0.393873
-0.267114 0.393135 -0.267114 0.393135
-0.281865 0.392355 -0.281865 0.392355
-0.296601 0.391534 -0.296601 0.391534
-0.311323 0.390672 -0.311323 0.390672
-0.326028 0.389769 -0.326028 0.389769
-0.340717 0.388826 -0.340717 0.388826
-0.355388 0.387841 -0.355388 0.387841
-0.370041 0.386817 -0.370041 0.386817
-0.384676 0.385752 -0.384676 0.385752
-0.399290 0.384647 -0.399290 0.384647
-0.413885 0.383503 -0.413885 0.383503
-0.428458 0.382318 -0.428458 0.382318
-0.443009 0.381095 -0.443009 0.381095
-0.457537 0.379832 -0.457537 0.379832
-0.472043 0.378530 -0.472043 0.378530
-0.486524 0.377190 -0.486524 0.377190
-0.500980 0.375811 -0.500980 0.375811
-0.515410 0.374394 -0.515410 0.374394
-0.529814 0.372939 -0.529814 0.372939
-0.544191 0.371446 -0.544191 0.371446
-0.558540 0.369916 -0.558540 0.369916
-0.572860 0.368349 -0.572860 0.368349
-0.587151 0.366745 -0.587151 0.366745
-0.601412 0.365104 -0.601412 0.365104
-0.615642 0.363428 -0.615642 0.363428
-0.629840 0.361715 -0.629840 0.361715
-0.644006 0.359967 -0.644006 0.359967
-0.658139 0.358183 -0.658139 0.358183
-0.672238 0.356365 -0.672238 0.356365
-0.686303 0.354511 -0.686303 0.354511
-0.700332 0.352624 -0.700332 0.352624
-0.714325 0.350703 -0.714325 0.350703
-0.728282 0.348748 -0.728282 0.348748
-0.742201 0.346760 -0.742201 0.346760
-0.756081 0.344739 -0.756081 0.344739
-0.769923 0.342686 -0.769923 0.342686
-0.783725 0.340601 -0.783725 0.340601
-0.797487 0.338484 -0.797487 0.338484
-0.811207 0.336336 -0.811207 0.336336
-0.824886 0.334157 -0.824886 0.334157
-0.838522 0.331947 -0.838522 0.331947
-0.852115 0.329708 -0.852115 0.329708
-0.865663 0.327439 -0.865663 0.327439
-0.879167 0.325141 -0.879167 0.325141
-0.892625 0.322814 -0.892625 0.322814
-0.906037 0.320459 -0.906037 0.320459
-0.919402 0.318076 -0.919402 0.318076
-0.932720 0.315666 -0.932720 0.315666
-0.945989 0.313228 -0.945989 0.313228
-0.959208 0.310765 -0.959208 0.310765
-0.972378 0.308276 -0.972378 0.308276
-0.985498 0.305761 -0.985498 0.305761
-0.998566 0.303221 -0.998566 0.303221
-1.011582 0.300657 -1.011582 0.300657
-1.024546 0.298069 -1.024546 0.298069
-1.037456 0.295457 -1.037456 0.295457
-1.050312 0.292823 -1.050312 0.292823
-1.063113 0.290166 -1.063113 0.290166
-1.075858 0.287488 -1.075858 0.287488
-1.088547 0.284788 -1.088547 0.284788
-1.101180 0.282067 -1.101180 0.282067
-1.113754 0.279326 -1.113754 0.279326
-1.126271 0.276565 -1.126271 0.276565
-1.138728 0.273785 -1.138728 0.273785
-1.151125 0.270987 -1.151125 0.270987
-1.163462 0.268171 -1.163462 0.268171
-1.175737 0.265337 -1.175737 0.265337
-1.187951 0.262487 -1.187951 0.262487
-1.200102 0.259620 -1.200102 0.259620
-1.212190 0.256738 -1.212190 0.256738
-1.224214 0.253840 -1.224214 0.253840
-1.236173 0.250928 -1.236173 0.250928
-1.248067 0.248003 -1.248067 0.248003
-1.259894 0.245064 -1.259894 0.245064
-1.271655 0.242112 -1.271655 0.242112
-1.283348 0.239148 -1.283348 0.239148
-1.294973 0.236174 -1.294973 0.236174
-1.306529 0.233188 -1.306529 0.233188
-1.318016 0.230192 -1.318016 0.230192
-1.329432 0.227187 -1.329432 0.227187
-1.340778 0.224173 -1.340778 0.224173
-1.352051 0.221151 -1.352051 0.221151
-1.363253 0.218121 -1.363253 0.218121
-1.374381 0.215085 -1.374381 0.215085
-1.385436 0.212042 -1.385436 0.212042
-1.396416 0.208994 -1.396416 0.208994
-1.407321 0.205941 -1.407321 0.205941
-1.418150 0.202884 -1.418150 0.202884
-1.428903 0.199824 -1.428903 0.199824
-1.439579 0.196760 -1.439579 0.196760
-1.450177 0.193695 -1.450177 0.193695
-1.460696 0.190628 -1.460696 0.190628
-1.471136 0.187560 -1.471136 0.187560
-1.481496 0.184493 -1.481496 0.184493
-1.491776 0.181426 -1.491776 0.181426
-1.501974 0.178361 -1.501974 0.178361
-1.512090 0.175297 -1.512090 0.175297
-1.522124 0.172237 -1.522124 0.172237
-1.532074 0.169180 -1.532074 0.169180
-1.541941 0.166127 -1.541941 0.166127
-1.551722 0.163079 -1.551722 0.163079
-1.561419 0.160037 -1.561419 0.160037
-1.571029 0.157002 -1.571029 0.157002
-1.580552 0.153974 -1.580552 0.153974
-1.589988 0.150953 -1.589988 0.150953
-1.599336 0.147941 -1.599336 0.147941
-1.608595 0.144939 -1.608595 0.144939
-1.617765 0.141947 -1.617765 0.141947
-1.626845 0.138965 -1.626845 0.138965
-1.635833 0.135995 -1.635833 0.135995
-1.644730 0.133038 -1.644730 0.133038
-1.653535 0.130093 -1.653535 0.130093
-1.662247 0.127163 -1.662247 0.127163
-1.670866 0.124247 -1.670866 0.124247
-1.679390 0.121346 -1.679390 0.121346
-1.687819 0.118462 -1.687819 0.118462
-1.696152 0.115594 -1.696152 0.115594
-1.704390 0.112744 -1.704390 0.112744
-1.712530 0.109913 -1.712530 0.109913
-1.720572 0.107100 -1.720572 0.107100
-1.728516 0.104307 -1.728516 0.104307
-1.736361 0.101535 -1.736361 0.101535
-1.744107 0.098785 -1.744107 0.098785
-1.751751 0.096056 -1.751751 0.096056
-1.759295 0.093351 -1.759295 0.093351
-1.766737 0.090669 -1.766737 0.090669
-1.774076 0.088011 -1.774076 0.088011
-1.781312 0.085379 -1.781312 0.085379
-1.788444 0.082772 -1.788444 0.082772
-1.795472 0.080193 -1.795472 0.080193
-1.802394 0.077640 -1.802394 0.077640
-1.809210 0.075116 -1.809210 0.075116
-1.815920 0.072621 -1.815920 0.072621
-1.822522 0.070155 -1.822522 0.070155
-1.829016 0.067720 -1.829016 0.067720
-1.835401 0.065316 -1.835401 0.065316
-1.841677 0.062944 -1.841677 0.062944
-1.847842 0.060605 -1.847842 0.060605
-1.853896 0.058299 -1.853896 0.058299
-1.859839 0.056027 -1.859839 0.056027
-1.865670 0.053790 -1.865670 0.053790
-1.871387 0.051588 -1.871387 0.051588
-1.876991 0.049423 -1.876991 0.049423
-1.882480 0.047295 -1.882480 0.047295
-1.887854 0.045204 -1.887854 0.045204
-1.893112 0.043152 -1.893112 0.043152
-1.898254 0.041140 -1.898254 0.041140
-1.903278 0.039166 -1.903278 0.039166
-1.908184 0.037234 -1.908184 0.037234
-1.912972 0.035343 -1.912972 0.035343
-1.917639 0.033493 -1.917639 0.033493
-1.922187 0.031687 -1.922187 0.031687
-1.926614 0.029923 -1.926614 0.029923
-1.930919 0.028204 -1.930919 0.028204
-1.935101 0.026529 -1.935101 0.026529
-1.939161 0.024900 -1.939161 0.024900
-1.943096 0.023316 -1.943096 0.023316
-1.946907 0.021779 -1.946907 0.021779
-1.950593 0.020289 -1.950593 0.020289
-1.954152 0.018847 -1.954152 0.018847
-1.957585 0.017454 -1.957585 0.017454
-1.960890 0.016109 -1.960890 0.016109
-1.964067 0.014815 -1.964067 0.014815
-1.967115 0.013570 -1.967115 0.013570
-1.970032 0.012377 -1.970032 0.012377
-1.972820 0.011235 -1.972820 0.011235
-1.975476 0.010145 -1.975476 0.010145
-1.978000 0.009108 -1.978000 0.009108
-1.980391 0.008123 -1.980391 0.008123
-1.982649 0.007193 -1.982649 0.007193
-1.984772 0.006317 -1.984772 0.006317
-1.986761 0.005495 -1.986761 0.005495
-1.988613 0.004729 -1.988613 0.004729
-1.990329 0.004018 -1.990329 0.004018
-1.991908 0.003364 -1.991908 0.003364
-1.993348 0.002766 -1.993348 0.002766
-1.994650 0.002226 -1.994650 0.002226
-1.995812 0.001743 -1.995812 0.001743
-1.996833 0.001318 -1.996833 0.001318
-1.997714 0.000952 -1.997714 0.000952
-1.998452 0.000645 -1.998452 0.000645
-1.999048 0.000397 -1.999048 0.000397
-1.999501 0.000208 -1.999501 0.000208
-1.999809 0.000080 -1.999809 0.000080
-1.999972 0.000012 -1.999972 0.000012
-1.999989 0.000004 -1.999989 0.000004
-1.999860 0.000058 -1.999860 0.000058
-1.999584 0.000173 -1.999584 0.000173
-1.999160 0.000350 -1.999160 0.000350
-1.998587 0.000589 -1.998587 0.000589
-1.997864 0.000889 -1.997864 0.000889
-1.996991 0.001253 -1.996991 0.001253
-1.995967 0.001679 -1.995967 0.001679
-1.994791 0.002167 -1.994791 0.002167
-1.993462 0.002719 -1.993462 0.002719
-1.991980 0.003334 -1.991980 0.003334
-1.990344 0.004012 -1.990344 0.004012
-1.988553 0.004753 -1.988553 0.004753
-1.986607 0.005559 -1.986607 0.005559
-1.984504 0.006427 -1.984504 0.006427
-1.982244 0.007360 -1.982244 0.007360
-1.979826 0.008356 -1.979826 0.008356
-1.977249 0.009416 -1.977249 0.009416
-1.974514 0.010540 -1.974514 0.010540
-1.971618 0.011728 -1.971618 0.011728
-1.968561 0.012979 -1.968561 0.012979
-1.965343 0.014294 -1.965343 0.014294
-1.961963 0.015673 -1.961963 0.015673
-1.958419 0.017115 -1.958419 0.017115
-1.954712 0.018620 -1.954712 0.018620
-1.950841 0.020189 -1.950841 0.020189
-1.946805 0.021820 -1.946805 0.021820
-1.942603 0.023515 -1.942603 0.023515
-1.938234 0.025272 -1.938234 0.025272
-1.933699 0.027091 -1.933699 0.027091
-1.928996 0.028973 -1.928996 0.028973
-1.924124 0.030916 -1.924124 0.030916
-1.919083 0.032920 -1.919083 0.032920
-1.913873 0.034986 -1.913873 0.034986
-1.908492 0.037112 -1.908492 0.037112
-1.902941 0.039299 -1.902941 0.039299
-1.897218 0.041546 -1.897218 0.041546
-1.891323 0.043852 -1.891323 0.043852
-1.885255 0.046216 -1.885255 0.046216
-1.879014 0.048640 -1.879014 0.048640
-1.872599 0.051121 -1.872599 0.051121
-1.866010 0.053659 -1.866010 0.053659
-1.859246 0.056254 -1.859246 0.056254
-1.852306 0.058905 -1.852306 0.058905
-1.845191 0.061612 -1.845191 0.061612
-1.837899 0.064373 -1.837899 0.064373
-1.830431 0.067189 -1.830431 0.067189
-1.822785 0.070057 -1.822785 0.070057
-1.814961 0.072978 -1.814961 0.072978
-1.806959 0.075951 -1.806959 0.075951
-1.798779 0.078975 -1.798779 0.078975
-1.790419 0.082049 -1.790419 0.082049
-1.781881 0.085172 -1.781881 0.085172
-1.773163 0.088343 -1.773163 0.088343
-1.764264 0.091561 -1.764264 0.091561
-1.755186 0.094826 -1.755186 0.094826
-1.745927 0.098136 -1.745927 0.098136
-1.736487 0.101491 -1.736487 0.101491
-1.726867 0.104888 -1.726867 0.104888
-1.717065 0.108328 -1.717065 0.108328
-1.707082 0.111809 -1.707082 0.111809
-1.696917 0.115330 -1.696917 0.115330
-1.686571 0.118890 -1.686571 0.118890
-1.676043 0.122487 -1.676043 0.122487
-1.665334 0.126121 -1.665334 0.126121
-1.654442 0.129789 -1.654442 0.129789
-1.643369 0.133492 -1.643369 0.133492
-1.632114 0.137226 -1.632114 0.137226
-1.620677 0.140992 -1.620677 0.140992
-1.609059 0.144788 -1.609059 0.144788
-1.597259 0.148612 -1.597259 0.148612
-1.585278 0.152463 -1.585278 0.152463
-1.573115 0.156340 -1.573115 0.156340
-1.560772 0.160241 -1.560772 0.160241
-1.548248 0.164164 -1.548248 0.164164
-1.535544 0.168109 -1.535544 0.168109
-1.522660 0.172073 -1.522660 0.172073
-1.509596 0.176055 -1.509596 0.176055
-1.496353 0.180053 -1.496353 0.180053
-1.482931 0.184066 -1.482931 0.184066
-1.469331 0.188092 -1.469331 0.188092
-1.455553 0.192130 -1.455553 0.192130
-1.441598 0.196178 -1.441598 0.196178
-1.427466 0.200234 -1.427466 0.200234
-1.413159 0.204296 -1.413159 0.204296
-1.398676 0.208363 -1.398676 0.208363
-1.384019 0.212434 -1.384019 0.212434
-1.369189 0.216505 -1.369189 0.216505
-1.354185 0.220576 -1.354185 0.220576
-1.339010 0.224644 -1.339010 0.224644
-1.323664 0.228709 -1.323664 0.228709
-1.308147 0.232768 -1.308147 0.232768
-1.292462 0.236819 -1.292462 0.236819
-1.276609 0.240860 -1.276609 0.240860
-1.260589 0.244890 -1.260589 0.244890
-1.244404 0.248907 -1.244404 0.248907
-1.228054 0.252908 -1.228054 0.252908
-1.211541 0.256893 -1.211541 0.256893
-1.194866 0.260859 -1.194866 0.260859
-1.178031 0.264804 -1.178031 0.264804
-1.161037 0.268727 -1.161037 0.268727
-1.143886 0.272625 -1.143886 0.272625
-1.126578 0.276497 -1.126578 0.276497
-1.109117 0.280341 -1.109117 0.280341
-1.091502 0.284154 -1.091502 0.284154
-1.073736 0.287936 -1.073736 0.287936
-1.055821 0.291684 -1.055821 0.291684
-1.037759 0.295396 -1.037759 0.295396
-1.019550 0.299070 -1.019550 0.299070
-1.001198 0.302705 -1.001198 0.302705
-0.982704 0.306299 -0.982704 0.306299
-0.964070 0.309850 -0.964070 0.309850
-0.945298 0.313356 -0.945298 0.313356
-0.926390 0.316816 -0.926390 0.316816
-0.907349 0.320226 -0.907349 0.320226
-0.888176 0.323587 -0.888176 0.323587
-0.868874 0.326896 -0.868874 0.326896
-0.849445 0.330150 -0.849445 0.330150
-0.829892 0.333350 -0.829892 0.333350
-0.810216 0.336492 -0.810216 0.336492
-0.790421 0.339575 -0.790421 0.339575
-0.770508 0.342598 -0.770508 0.342598
-0.750481 0.345559 -0.750481 0.345559
-0.730341 0.348456 -0.730341 0.348456
-0.710092 0.351288 -0.710092 0.351288
-0.689737 0.354053 -0.689737 0.354053
-0.669277 0.356750 -0.669277 0.356750
-0.648716 0.359377 -0.648716 0.359377
-0.628056 0.361932 -0.628056 0.361932
-0.607301 0.364415 -0.607301 0.364415
-0.586453 0.366824 -0.586453 0.366824
-0.565515 0.369158 -0.565515 0.369158
-0.544491 0.371415 -0.544491 0.371415
-0.523382 0.373594 -0.523382 0.373594
-0.502193 0.375693 -0.502193 0.375693
-0.480926 0.377713 -0.480926 0.377713
-0.459584 0.379651 -0.459584 0.379651
-0.438171 0.381506 -0.438171 0.381506
-0.416690 0.383278 -0.416690 0.383278
-0.395144 0.384965 -0.395144 0.384965
-0.373535 0.386566 -0.373535 0.386566
-0.351869 0.388081 -0.351869 0.388081
-0.330147 0.389509 -0.330147 0.389509
-0.308373 0.390848 -0.308373 0.390848
-0.286551 0.392099 -0.286551 0.392099
-0.264683 0.393259 -0.264683 0.393259
-0.242774 0.394330 -0.242774 0.394330
-0.220826 0.395309 -0.220826 0.395309
-0.198843 0.396197 -0.198843 0.396197
-0.176829 0.396993 -0.176829 0.396993
-0.154787 0.397696 -0.154787 0.397696
-0.132720 0.398306 -0.132720 0.398306
-0.110633 0.398823 -0.110633 0.398823
-0.088527 0.399246 -0.088527 0.399246
-0.066408 0.399576 -0.066408 0.399576
-0.044278 0.399811 -0.044278 0.399811
-0.022141 0.399953 -0.022141 0.399953
-0.000000 0.400000 -0.000000 0.400000
0.022141 0.399953 0.022141 0.399953
0.044278 0.399811 0.044278 0.399811
0.066408 0.399576 0.066408 0.399576
0.088527 0.399246 0.088527 0.399246
0.110633 0.398823 0.110633 0.398823
0.132720 0.398306 0.132720 0.398306
0.154787 0.397696 0.154787 0.397696
0.176829 0.396993 0.176829 0.396993
0.198843 0.396197 0.198843 0.396197
0.220826 0.395309 0.220826 0.395309
0.242774 0.394330 0.242774 0.394330
0.264683 0.393259 0.264683 0.393259
0.286551 0.392099 0.286551 0.392099
0.308373 0.390848 0.308373 0.390848
0.330147 0.389509 0.330147 0.389509
0.351869 0.388081 0.351869 0.388081
0.373535 0.386566 0.373535 0.386566
0.395144 0.384965 0.395144 0.384965
0.416690 0.383278 0.416690 0.383278
0.438171 0.381506 0.438171 0.381506
0.459584 0.379651 0.459584 0.379651
0.480926 0.377713 0.480926 0.377713
0.502193 0.375693 0.502193 0.375693
0.523382 0.373594 0.523382 0.373594
0.544491 0.371415 0.544491 0.371415
0.565515 0.369158 0.565515 0.369158
0.586453 0.366824 0.586453 0.366824
0.607301 0.364415 0.607301 0.364415
0.628056 0.361932 0.628056 0.361932
0.648716 0.359377 0.648716 0.359377
0.669277 0.356750 0.669277 0.356750
0.689737 0.354053 0.689737 0.354053
0.710092 0.351288 0.710092 0.351288
0.730341 0.348456 0.730341 0.348456
0.750481 0.345559 0.750481 0.345559
0.770508 0.342598 0.770508 0.342598
0.790421 0.339575 0.790421 0.339575
0.810216 0.336492 0.810216 0.336492
